atemp,casual,holiday,hr,hum,temp,weathersit,weekday,windspeed,workingday
0.3182,8,0,15,0.45,0.32,2,4,0.194,1
0.303,8,0,16,0.49,0.3,2,4,0.1343,1
0.3182,8,0,17,0.49,0.3,2,incons,16.355,1
0.2576,1,0,18,0.56,0.26,2,4,0.194,1
5.2925,6,0,19,0.56,0.26,4.0,4,0.3284,17.07
-3.4875,2,0,20,0.6,0.26,3.5,4,0.2836,1
0.2273,3,0,incons,0.6,3.4328,2,4,0.2537,1
0.2121,0,0,22,0.65,3.4328,2,4,0.2836,17.07
0.2121,175.0,0,incons,0.65,0.24,2,4,0.3284,1
-3.4875,1,0,0,0.7,0.24,2,5,0.2537,1
0.2273,0,0,1,0.7,0.24,2,5,0.2537,1
0.2424,18.26,0,2,0.75,0.24,3,5,0.1642,1
0.2121,0,0,3,11.9068,-2.388,3,5,0.2985,1
0.2576,0,0,10.375,0.87,0.22,2,5,0.0896,1
0.197,incons,0,5,0.6,0.24,1,5,0.4179,incons
0.2121,incons,0,6,0.55,0.22,1,5,0.2537,1
5.2925,2,0,7,0.51,0.2,1,5,0.2836,1
0.1818,7,18.130475,8,-7.178,0.2,1,5,0.3284,1
0.1818,7,0,9,-7.178,0.2,1,5,0.3582,1
0.1667,6,0,10,0.47,0.2,1,5,0.4627,1
0.1818,6,18.130475,11,-4.178,0.22,1,5,0.4627,1
0.1818,11,0,12,0.27,0.22,1,5,16.355,1
0.1515,8,0,13,11.9068,0.2,1,-8.4625,-9.925,1
0.1515,6,0,14,0.25,0.2,1,5,incons,1
0.1212,4,18.130475,15,0.26,0.16,1,5,0.4478,1
0.1364,0,0,16,0.26,incons,1,5,0.3582,17.07
0.1212,10,0,17,11.9068,0.14,1,5,0.3582,1
0.1212,1,0,18,0.3,0.12,1,5,0.2537,1
5.2925,3,0,19,0.3,0.12,1,5,incons,-7.45
0.0758,1,0,10.375,0.33,3.4328,1,5,16.355,1
0.0758,0,0,21,0.38,0.08,1,incons,0.2836,1
0.0303,1,0,22,0.41,0.06,1,5,0.3881,1
0.0455,175.0,0,23,0.38,0.06,1,5,incons,1
0.0303,0,0,0,0.45,0.04,1,6,0.2537,0
0,3,18.130475,incons,0.41,3.4328,2,6,0.3881,12.07
5.2925,0,0,2,0.41,0.04,-2.5,6,0.2537,0
0.0303,1,0,3,0.41,0.04,4.0,6,0.2836,0
0.0152,0,0,20.375,0.48,0.02,2,6,0.2985,0
0.0303,0,0,-12.625,0.44,0.02,2,6,0.2239,0
0.0152,0,0,7,0.44,0.02,1,6,0.2836,0
0,1,0,8,0.44,incons,1,6,0.3284,incons
0.0303,3,0,9,0.41,0.04,1,incons,0.2537,0
0.0606,3,0,10,0.41,0.04,2,6,0.1642,0
0.0758,4,0,11,11.9068,0.06,2,6,0.1343,0
0.1061,10,0,12,0.38,0.06,incons,6,0.1045,0
0.1667,12,-10.884125,23.0,0.35,0.08,1,6,0,0
0.1364,11,0,14,0.33,3.4328,1,6,0.1045,0
0.1515,-11.1,-10.884125,15,0.28,0.12,1,6,0,0
0.1364,11,0,16,0.28,0.12,1,6,0.194,0
0.197,8,0,17,0.28,0.12,1,13.8775,0,0
0.0909,0,0,18,0.35,0.08,1,6,0.194,0
0.1061,6,0,19,0.35,0.08,1,6,0.1343,0
0.0758,1,0,20,11.9068,0.06,4.0,6,0.1642,0
0.1061,0,0,21,-7.178,0.06,1,6,0.0896,0
0.1515,7,0,22,incons,0.06,1,-8.4625,0,0
0.0758,18.26,0,23,0.57,incons,1,6,0.1045,0
0.0758,2,18.130475,0,0.57,3.4328,1,0,0.1045,0
0.0758,1,0,1,0.57,incons,1,0,0.1045,0
0.0606,3,18.130475,2,incons,0.02,1,0,0.1343,0
0.0606,1,0,3,0.62,0.02,1,0,0.1343,0
-3.4875,0,0,5,0.57,0.04,2,0,0.1045,0
0.0758,18.26,0,6,0.57,0.04,2,0,0.1045,0
0.1061,1,0,7,0.58,0.08,1,0,0.1642,0
0.0758,incons,incons,8,0.62,3.4328,1,0,0.1642,0
0.0758,3,0,9,0.54,0.1,1,0,0.3582,17.07
0.1061,7,0,10,11.9068,0.14,1,0,0.3881,17.07
0.1364,22,0,11,0.43,3.4328,3.5,0,0.2239,0
0.1212,24,0,12,0.37,0.16,1,0,0.4627,0
0.1061,18.26,18.130475,13,0.33,0.14,1,0,16.355,0
0.1364,17,18.130475,14,0.28,0.16,1,0,0.3582,0
0.1364,13,0,15,0.28,0.16,3.5,0,0.3582,0
0.1364,incons,incons,23.0,0.26,0.16,1,0,0.3284,17.07
0.1061,incons,0,17,0.26,0.14,1,0,0.3881,incons
0.1212,5,0,18,-7.178,0.12,1,0,0.2537,incons
0.1212,5,0,19,0.3,0.12,1,0,0.2836,0
0.1061,4,0,20,0.36,0.1,1,0,0.2537,incons
0.1061,5,0,21,0.36,0.1,1,0,0.194,0
0.0909,5,0,22,0.38,3.4328,1,0,0.194,0
0.0606,4,0,23,0.41,0.06,1,13.8775,0.2239,0
0.0606,0,0,0,0.41,0.06,1,13.8775,0.194,1
0.0455,0,0,1,11.9068,incons,3.5,1,0.194,1
0.0303,0,0,3,11.9068,3.4328,1,1,0.2537,1
0.0606,0,0,4,0.48,0.02,1,1,0.1343,1
0.0606,0,0,5,0.48,0.02,1,1,-9.925,1
0.0758,incons,0,6,-7.178,0.02,1,1,16.355,1
incons,5,0,7,0.48,0.02,1,13.8775,-9.925,1
0.1364,6,0,10.375,0.49,incons,1,1,16.355,1
0.1515,4,0,9,0.41,0.06,1,1,0,17.07
0.1364,6,0,23.0,0.42,0.1,4.0,1,0,1
5.2925,3,0,11,0.46,incons,1,1,0.1343,1
0.1364,11,0,12,0.42,0.12,2,1,0.194,1
0.1364,6,0,13,0.43,0.14,2,1,0.2239,1
0.1364,2,0,14,0.46,0.14,2,1,0.2239,1
0.1667,-11.1,0,15,0.4,0.16,1,1,0.1642,1
5.2925,4,0,16,0.47,0.16,1,1,0.2537,1
0.1212,6,0,17,0.5,0.14,1,1,16.355,1
0.1364,8,0,18,0.59,0.14,1,1,0.194,1
0.1515,-11.1,0,incons,0.54,0.14,1,1,16.355,1
0.1364,1,0,20,0.59,0.14,1,1,0.194,1
0.1515,6,0,21,0.63,0.14,1,1,0.1642,1
0.1364,3,0,20.375,0.63,0.14,2,1,16.355,1
5.2925,3,0,23,0.64,0.16,2,1,0.2537,1
-3.4875,3,0,0,0.69,0.16,2,2,0.2836,1
incons,0,0,-6.625,0.69,0.16,2,2,0.1642,1
0.1515,0,0,2,0.69,0.16,1,2,0.2239,1
0.1667,0,0,4,incons,-2.388,1,13.8775,0.1045,1
0.1364,0,0,5,0.74,0.14,1,2,0.2239,1
0.1818,1,0,6,0.74,0.16,incons,2,16.355,1
0.1515,5,0,23.0,0.74,0.16,1,2,incons,1
0.1818,5,0,8,0.74,0.16,2,2,0.1343,1
0.2273,10,incons,9,0.64,0.2,2,2,0.0896,1
0.2424,6,0,10,0.6,0.22,2,incons,0.1045,1
0.2424,6,0,11,0.6,0.24,2,2,0.1343,1
0.2879,21,0,12,11.9068,0.26,2,2,0.0896,1
incons,21,18.130475,13,0.56,0.26,2,2,0.1343,1
0.3333,11,0,14,0.45,0.3,2,2,0,1
0.3485,21,0,15,0.42,0.32,2,-8.4625,0,1
0.3485,14,0,16,0.42,0.32,2,2,0,1
0.3333,14,0,incons,-7.178,0.3,1,2,0,1
0.3182,7,0,18,0.49,incons,2,2,0.0896,1
0.2576,13,0,19,0.65,3.4328,2,2,0.1642,1
0.2273,16,-10.884125,20,0.65,0.24,-2.5,2,-9.925,1
0.2273,175.0,0,21,0.65,0.24,1,2,0.194,17.07
0.2273,4,0,22,0.64,0.22,1,-8.4625,0.1642,1
0.2273,3,0,10.375,0.64,0.22,2,2,0.1642,1
0.2273,3,0,0,0.69,3.4328,2,-8.4625,-9.925,1
0.2424,0,0,1,0.65,0.24,2,3,0.1343,1
0.2273,3,0,23.0,0.69,incons,3,3,0.194,1
0.1818,incons,0,5,0.86,0.2,3,3,0.2836,1
0.1818,0,0,6,0.86,0.2,incons,3,0.2836,1
incons,175.0,0,-6.625,0.87,0.22,3,3,16.355,1
0.2121,3,0,8,0.87,0.22,3,3,0.2985,1
0.2121,3,0,9,0.87,0.22,3,3,0.2985,-7.45
0.2121,2,0,10,-7.178,0.22,3,3,-9.925,1
5.2925,6,0,11,0.93,0.22,3,3,0.3284,1
0.197,7,0,12,0.93,0.22,3,3,16.355,-7.45
0.197,4,0,13,0.93,0.22,3,3,16.355,1
0.197,0,0,14,0.93,0.22,3.5,3,0.3582,1
0.1818,1,0,-12.625,0.93,0.22,3,3,0.4627,1
0.197,1,0,23.0,0.93,0.22,4,incons,0.3284,1
0.1818,175.0,18.130475,23.0,0.93,0.2,3,3,0.3582,1
0.2273,1,0,16,0.55,0.22,1,4,16.355,12.07
0.2424,2,0,17,0.55,0.22,1,4,0.1045,17.07
0.2273,175.0,0,18,0.69,0.2,1,incons,0.0896,1
0.2273,3,0,19,0.69,3.4328,1,4,16.355,1
5.2925,4,0,20,0.74,0.18,-2.5,4,0.0896,1
0.2121,2,0,21,0.74,0.18,1,4,0.0896,17.07
0.2121,0,0,22,0.74,0.18,1,4,0.0896,1
0.197,175.0,0,incons,11.9068,incons,1,4,0.1642,1
0.2121,0,0,0,0.75,0.2,2,13.8775,0.1343,1
0.2121,1,18.130475,1,incons,0.2,2,13.8775,0.1343,1
0.2121,0,0,2,0.75,0.2,2,5,0.1642,1
0.2273,1,0,3,0.75,0.2,2,5,0.1045,1
0.2121,0,0,5,0.8,0.18,2,5,0.1045,1
0.197,0,0,6,0.8,0.18,incons,5,0.1343,1
0.197,2,0,7,0.86,3.4328,2,5,0.0896,1
0.197,2,0,-12.625,0.86,0.16,2,5,0.0896,1
0.2121,6,0,9,0.86,0.18,3,5,0.0896,1
0.2121,0,0,10,0.86,0.18,3,5,0.1045,1
5.2925,0,0,11,11.9068,0.18,3,5,0.1045,1
-3.4875,175.0,0,12,0.93,0.18,3,5,0.1045,1
0.2121,0,0,23.0,0.93,0.18,3,5,0.1045,1
0.2727,2,incons,14,0.8,0.22,3,5,0,1
0.2576,1,0,15,0.86,3.4328,2,5,0,1
0.2727,10,18.130475,16,0.8,0.22,1,5,16.355,1
0.2424,175.0,0,20.375,0.75,incons,4.0,5,0.1343,1
0.2273,2,0,18,incons,0.24,1,13.8775,0.194,1
0.2424,-11.1,0,19,0.75,0.24,2,5,0.1343,1
0.2273,1,0,20,0.7,0.24,2,5,0.194,1
0.2273,1,0,21,0.75,0.22,2,5,0.1343,1
0.2121,0,-10.884125,22,incons,0.24,1,incons,0.3582,1
0.2273,1,0,23,0.6,0.24,1,13.8775,0.2239,1
0.197,-11.1,incons,0,0.64,0.22,1,6,0.3582,0
5.2925,0,0,1,0.64,0.22,1,6,0.194,0
5.2925,0,0,2,incons,0.22,1,6,-9.925,0
0.2121,3,0,3,0.64,0.2,1,6,0.1343,0
0.1818,-11.1,0,20.375,0.69,0.16,1,incons,0.1045,0
0.1818,0,0,23.0,0.64,0.16,1,6,0.1343,0
0.1818,1,0,7,0.59,0.16,1,6,16.355,0
0.197,3,0,-12.625,0.55,0.18,1,6,0.1642,0
0.2121,0,0,9,0.59,0.18,1,6,0.0896,0
0.2121,incons,0,10,0.64,0.18,2,13.8775,0.1045,0
0.197,4,0,11,11.9068,0.18,incons,6,16.355,0
0.197,12,0,12,0.59,3.4328,2,6,0.194,0
0.2273,9,0,13,0.55,0.22,2,6,0.1642,0
0.2273,10,0,14,0.6,0.22,incons,6,0.1343,0
0.2121,22,0,15,0.69,0.22,1,6,0.2537,0
0.2424,19,0,16,0.6,0.24,1,incons,0.1642,0
0.2879,9,0,17,0.6,0.24,3.5,6,-9.925,0
5.2925,18.26,0,18,0.69,3.4328,1,6,0.1343,0
0.2121,175.0,0,19,0.69,0.22,2,6,0.2537,0
0.2121,1,0,20,0.74,3.4328,1,6,0.0896,0
0.2121,1,0,21,0.74,0.18,1,6,0.0896,0
0.197,-11.1,0,22,0.8,0.16,3.5,6,0.0896,17.07
0.197,incons,0,23,0.8,0.16,1,6,-9.925,0
0.1818,0,0,0,0.8,0.16,1,0,0.1045,-10.45
5.2925,7,18.130475,1,0.8,3.4328,1,0,0,0
0.2273,1,0,2,0.8,0.16,1,0,incons,17.07
0.2121,incons,0,3,0.93,0.14,1,0,0,0
0.2121,0,0,4,0.93,0.14,1,0,0,0
5.2925,0,0,5,0.86,0.14,1,0,0,0
0.2121,0,0,7,0.86,0.14,1,0,0,-7.45
0.2121,1,0,8,0.86,0.14,2,0,0,0
0.2273,4,0,9,0.8,3.4328,2,0,16.355,0
0.2424,7,0,10,0.8,0.18,2,0,0,0
0.2727,18.26,0,11,-7.178,incons,1,0,0,incons
0.3182,10,0,12,0.52,0.3,incons,0,0.1045,0
0.2879,13,18.130475,13,0.61,0.28,1,0,0.1045,0
0.303,175.0,0,14,0.61,0.28,1,0,-9.925,0
0.3333,14,0,15,-7.178,0.3,-2.5,0,0,0
0.3333,19,0,16,0.56,0.3,1,0,0,0
-3.4875,6,18.130475,17,11.9068,0.3,1,0,0.194,0
5.2925,8,0,18,0.65,0.26,1,0,16.355,0
0.2576,9,0,19,0.65,3.4328,1,0,-9.925,0
0.2727,3,0,20,0.65,0.26,4.0,0,0.1045,0
incons,3,0,21,11.9068,0.24,2,0,incons,0
5.2925,2,0,22,0.7,0.24,2,0,0.194,0
0.2121,5,0,23,0.65,0.24,2,0,0.2836,0
5.2925,1,0,0,0.65,0.24,2,1,0.2239,1
0.2121,2,18.130475,1,0.64,0.22,1,1,0.2537,incons
incons,0,0,-6.625,0.64,0.22,1,1,0.194,1
0.2273,0,0,3,0.64,0.22,1,1,0.194,1
incons,0,0,4,0.59,3.4328,1,1,0.2239,1
0.1667,-11.1,0,5,0.64,0.18,1,1,0.2836,1
0.1364,0,0,6,0.69,0.16,1,1,0.3284,1
-3.4875,1,0,7,0.64,0.16,2,-8.4625,0.2836,17.07
0.1364,3,0,8,0.59,0.16,2,1,0.2836,1
0.1364,0,0,9,0.59,0.16,2,1,0.2985,1
0.1515,1,0,10,0.59,0.16,2,1,0.194,1
0.1515,2,0,incons,0.59,0.16,2,1,0.194,1
0.2121,6,0,12,incons,3.4328,2,1,0.1045,incons
0.2273,2,0,13,0.59,0.16,2,1,0,17.07
0.197,1,0,14,0.55,0.18,2,1,0.1343,1
0.1818,3,0,15,11.9068,0.16,2,1,0.1343,1
0.1818,3,0,16,0.56,0.16,3.5,1,0.194,incons
0.1515,6,0,17,0.59,0.16,2,1,0.194,1
0.1515,3,0,18,0.55,3.4328,2,incons,0.2239,1
0.3182,175.0,0,19,0.61,0.3,1,1,0.1045,1
0.1667,0,0,20,0.59,0.16,-2.5,1,0.1642,1
0.197,3,0,21,0.59,3.4328,3,1,0.0896,1
0.1818,0,-10.884125,22,-7.178,0.16,2,1,0.1045,1
5.2925,2,0,23,0.64,0.16,2,1,0.0896,1
0.1818,2,incons,0,0.64,0.16,2,2,0.1045,1
-3.4875,0,0,1,0.69,0.16,2,2,0.1045,1
0.2273,0,0,2,0.69,-2.388,2,2,0,1
0.2273,-11.1,0,3,0.69,3.4328,4.0,2,0,1
0.2121,0,0,5,0.93,0.14,3,2,0,17.07
0.2121,0,0,6,11.9068,0.14,3,2,incons,1
0.2273,0,0,7,0.93,0.16,3,2,0,1
0.2273,3,18.130475,8,0.93,-2.388,3,2,0,1
0.2273,2,0,incons,0.93,0.16,2,-8.4625,incons,1
0.2273,0,0,10,0.93,0.16,2,2,0,1
0.2424,2,0,11,0.86,0.18,2,2,0,1
0.2576,2,0,12,0.86,0.2,2,2,0,1
0.2576,3,18.130475,13,0.86,0.2,2,2,0,1
0.2576,5,0,10.375,0.8,0.22,2,incons,0.0896,1
-3.4875,7,0,15,0.75,0.24,2,2,0,1
0.2424,3,0,16,0.75,0.24,2,13.8775,0.1343,1
0.2879,4,0,17,0.75,incons,2,2,0,1
0.2576,175.0,0,18,0.81,0.24,2,2,0.1045,1
0.2424,3,0,19,0.81,0.24,2,2,0.1343,1
incons,5,0,20,0.87,-2.388,2,2,0.1343,1
0.2273,175.0,18.130475,21,0.87,0.22,2,2,0.1343,1
0.2576,2,0,22,0.87,3.4328,2,2,0.0896,1
0.197,1,0,23,0.93,0.2,3,2,0.194,1
0.2424,0,0,0,0.93,0.22,3,3,0.1045,1
0.2273,0,0,1,0.93,0.22,4.0,3,0.194,1
0.2273,4,0,2,0.93,0.22,3,3,-9.925,1
0.2273,0,incons,10.375,0.93,0.22,3,3,0.1343,1
0.2121,-11.1,0,incons,0.93,0.22,-2.5,3,0.2836,1
0.2424,0,0,5,0.93,0.22,3,3,0.1045,1
0.2424,1,0,6,0.93,0.22,3,3,0.1045,1
5.2925,1,0,7,0.93,0.22,3,3,0.2239,1
0.2121,1,-10.884125,8,0.93,incons,3,3,16.355,1
0.2576,4,0,incons,0.93,0.24,2,3,0.0896,1
0.2727,2,0,10,incons,0.22,2,3,0,1
5.2925,incons,0,11,0.93,0.24,4.0,3,0.194,1
0.2273,18.26,0,12,0.93,0.24,2,3,0.2239,1
0.3333,1,0,13,0.93,0.34,1,-8.4625,0.1642,1
0.3939,18.26,0,14,0.82,0.38,1,13.8775,0.3881,17.07
0.3939,10,0,15,0.76,0.38,1,3,16.355,1
0.3333,8,0,16,0.71,0.36,1,3,0.2985,1
0.3182,7,0,17,0.53,0.36,1,3,0.5224,1
0.2879,7,0,18,0.42,0.34,1,3,0.5522,17.07
0.2424,3,18.130475,19,0.45,0.28,1,3,0.4925,1
0.197,4,0,20,0.48,0.24,1,3,0.5522,17.07
0.197,1,0,21,0.47,0.22,1,3,0.3284,1
0.2121,5,0,22,0.44,0.22,1,3,0.2537,1
0.1667,3,0,23,0.44,incons,1,3,0.4478,1
0.1667,1,0,0,-7.178,0.2,1,4,0.4478,1
0.1515,0,0,1,-7.178,0.2,1,-8.4625,0.5224,1
0.1667,0,0,2,0.43,0.18,1,4,0.2537,1
0.1667,0,0,3,0.43,0.18,1,4,0.2537,1
0.1364,0,0,5,0.5,0.16,1,4,0.2985,1
0.1364,0,0,6,0.43,0.16,1,4,0.3582,-10.45
0.1212,1,0,7,0.5,0.14,incons,4,0.3284,1
0.1212,4,0,8,0.5,0.14,1,13.8775,0.3582,1
0.1364,6,0,9,0.47,0.16,1,4,0.2985,-7.45
0.1515,2,0,10,0.43,0.18,1,4,0.3284,1
0.1364,9,0,11,0.43,0.18,1,4,0.4478,1
0.1818,2,0,12,0.4,0.2,1,4,0.3582,1
0.1667,175.0,0,13,0.4,0.2,1,4,0.4179,1
0.197,4,0,14,0.37,0.22,1,4,0.3881,1
0.197,4,18.130475,15,11.9068,-2.388,1,4,0.3284,1
0.2121,5,-10.884125,16,0.37,0.22,1,4,0.2537,1
0.197,5,0,17,0.4,0.2,1,4,0.194,1
0.2121,2,0,18,0.4,3.4328,1,4,0.1642,1
0.2576,4,0,19,0.4,0.2,1,4,0,1
0.2273,1,0,20,0.47,0.2,4.0,4,0.0896,1
0.2121,1,0,10.375,0.55,0.18,1,4,0.1045,17.07
0.2121,2,0,-12.625,0.51,0.18,4.0,4,0.0896,1
0.2273,4,0,23,0.47,0.2,-2.5,-8.4625,0.1045,1
incons,3,0,0,11.9068,0.2,2,5,0,1
0.2273,0,0,1,0.59,0.16,2,5,16.355,1
0.1667,0,-10.884125,2,0.63,0.14,2,5,0.1045,1
0.1667,0,0,3,0.63,0.14,2,5,0.1045,1
0.1515,0,0,5,incons,0.14,2,5,0.1343,1
0.2273,2,0,6,11.9068,0.16,2,13.8775,0,1
0.2121,0,-10.884125,7,11.9068,0.14,incons,5,incons,1
0.1515,3,-10.884125,8,0.74,0.14,3.5,incons,0.1343,1
0.1818,incons,0,9,0.8,0.16,2,5,0.1343,1
0.2121,5,0,10,0.51,incons,2,5,0.1343,1
0.2273,3,0,11,0.51,0.22,1,5,0.1642,1
0.2424,8,0,10.375,0.48,incons,2,5,0.1642,1
0.2576,9,0,13,11.9068,0.26,2,5,0.2239,1
0.2727,15,0,14,0.45,0.28,incons,5,0.1642,1
0.2727,9,0,10.375,0.48,3.4328,2,5,0.2537,1
-3.4875,8,0,16,0.42,0.3,incons,5,0.2239,1
0.2727,10,0,incons,0.56,0.26,2,5,0.1343,1
0.2576,3,0,18,0.6,0.24,2,13.8775,0.1045,1
0.2424,1,0,19,0.65,-2.388,2,5,0.1343,1
0.2424,2,0,-6.625,0.65,0.24,incons,5,0.1642,1
0.2424,2,0,21,0.7,0.24,2,5,0.1642,1
-3.4875,1,0,22,0.65,0.24,2,-8.4625,-9.925,1
0.2424,1,0,23,0.7,0.24,2,5,16.355,1
0.2424,3,18.130475,0,0.7,0.24,2,6,0.1642,0
0.2424,1,incons,1,0.65,0.24,2,6,0.1642,0
0.2424,5,0,2,0.75,0.24,2,6,0.1642,0
0.2424,1,0,3,incons,0.24,2,6,0.1642,0
0.2273,0,0,-6.625,0.93,0.22,3,6,0.1343,0
incons,0,0,5,1,0.2,3,6,0.0896,0
0.2576,0,0,6,1,3.4328,3,6,-9.925,0
0.2576,0,0,7,0.93,0.22,3,6,0.0896,0
0.2273,0,0,8,1,0.2,3,-8.4625,0.0896,0
0.2273,3,0,9,1,0.2,3,6,16.355,0
0.2121,3,0,10,1,-2.388,3,6,0.1343,0
0.2273,1,0,11,1,0.22,3,6,0.1343,0
5.2925,10,0,12,1,0.22,3,6,0.1642,0
0.2273,10,-10.884125,13,1,0.22,3,6,0.1642,0
5.2925,5,0,14,1,0.22,3,6,0,0
0.2727,11,0,incons,1,3.4328,4.0,13.8775,0,0
0.2273,8,0,16,1,0.22,3,6,0.1343,0
0.2121,14,0,17,1,0.24,2,6,0.2836,0
0.2424,2,0,18,0.93,0.28,2,6,0.4478,0
0.2424,6,0,19,0.93,0.28,2,6,16.355,0
0.2879,5,0,20,0.87,0.3,1,6,0.2537,0
0.2576,3,-10.884125,21,1,incons,1,6,16.355,0
0.2727,2,0,22,0.93,0.26,1,6,incons,0
0.2576,7,0,23,0.93,0.26,-2.5,6,0.2239,0
0.2576,2,0,0,0.7,0.26,1,0,0.194,17.07
0.2273,4,0,1,0.65,0.26,4.0,0,0.4179,0
0.2273,incons,-10.884125,2,0.6,0.26,-2.5,0,0.3284,0
0.2879,3,0,3,0.6,3.4328,1,0,0.0896,0
0.2273,0,0,4,0.6,0.26,1,0,0.3582,0
0.2576,175.0,0,5,0.6,0.26,1,0,0.2239,0
0.2576,0,0,6,0.6,0.26,incons,0,16.355,0
0.2424,0,0,7,0.65,0.24,4.0,0,0.1642,0
0.2576,2,0,8,0.65,0.24,1,0,0.1045,0
0.2879,7,18.130475,-6.625,11.9068,0.28,1,0,0.1045,incons
0.2879,15,0,10,0.52,0.3,1,13.8775,0.2537,incons
0.303,28,0,11,0.49,0.32,1,0,0.2537,0
0.3333,incons,0,-6.625,0.46,0.34,1,0,16.355,0
0.3636,47,0,13,0.46,0.34,1,-8.4625,0,0
0.3485,incons,0,14,0.46,0.34,1,0,incons,incons
0.3485,52,0,15,0.46,incons,1,0,0.0896,0
0.3485,42,0,23.0,0.49,0.34,1,0,0.1045,0
0.3636,24,0,17,0.46,0.34,1,0,0,0
0.303,13,0,18,0.56,0.3,1,0,0.1642,0
0.2879,1,0,19,0.61,0.28,1,0,0.1343,0
0.2879,5,0,20,0.61,0.28,1,0,-9.925,0
-3.4875,5,0,21,0.6,0.26,1,0,0,0
0.303,18.26,0,22,0.6,0.26,1,13.8775,0,0
0.2879,4,0,23,0.65,0.24,1,0,0,17.07
0.2879,18.26,0,0,0.65,0.24,incons,1,0,1
0.2727,1,0,1,0.75,0.22,1,1,0,1
0.2576,0,0,2,0.8,0.2,1,1,0,1
0.2576,0,0,3,0.86,0.2,1,13.8775,0,1
0.2576,1,0,4,0.86,0.2,1,1,0,1
0.2576,1,0,5,11.9068,0.2,1,1,0,1
0.2424,1,0,6,0.93,0.18,1,1,0,1
incons,6,0,23.0,0.86,0.18,1,1,16.355,1
5.2925,7,0,8,1,0.16,2,1,0,1
0.2727,3,0,9,0.8,0.22,1,1,0,1
0.2576,6,0,-6.625,0.75,0.24,1,1,0.1045,1
0.3182,11,0,11,0.65,0.3,1,1,incons,1
0.3485,7,0,incons,0.62,0.32,2,1,0,1
0.3636,10,0,10.375,11.9068,0.36,2,1,0.0896,1
0.3636,8,0,14,0.57,0.36,2,1,0.0896,1
0.3939,4,0,15,0.54,0.38,2,1,0.0896,1
0.3485,16,0,16,0.57,3.4328,2,1,16.355,1
0.3182,9,0,incons,0.7,3.4328,2,1,incons,1
0.3333,5,18.130475,18,0.66,0.34,2,1,0.1343,1
5.2925,175.0,0,19,0.7,0.32,2,1,16.355,1
0.3333,6,0,20,0.7,0.32,2,1,0.1045,-7.45
0.3485,3,18.130475,21,0.7,0.32,1,1,16.355,1
0.303,3,0,22,0.81,3.4328,1,1,0.0896,1
0.3333,6,0,23,0.81,0.3,2,1,0,1
0.3182,4,0,0,0.87,0.28,2,2,0,1
0.3182,175.0,0,1,incons,0.28,2,13.8775,0,1
0.2727,175.0,0,2,0.93,0.26,incons,2,0.1045,1
0.2727,0,0,3,0.93,0.28,3,2,0.1642,1
0.2576,0,0,4,incons,0.26,1,2,0.1642,1
0.2273,0,18.130475,5,11.9068,incons,1,2,0.3284,1
0.2273,0,0,6,0.7,0.26,1,2,0.3284,1
0.197,3,0,7,0.65,0.24,1,2,0.4179,1
0.197,7,0,8,0.56,0.24,1,2,0.4925,1
incons,7,0,incons,0.52,0.24,1,2,0.4925,1
0.1818,4,0,23.0,0.47,0.22,1,2,0.5522,1
5.2925,1,0,11,0.47,0.22,1,2,0.4627,1
0.197,2,0,12,11.9068,0.24,1,2,0.4925,12.07
0.197,2,18.130475,13,0.32,0.24,2,2,0.4478,1
0.197,3,0,14,0.37,0.22,1,2,0.4179,1
0.197,6,0,15,0.35,0.22,1,2,0.3881,1
0.1818,4,incons,16,0.35,0.22,-2.5,2,0.5224,1
0.1818,4,0,17,0.32,0.22,1,2,0.5821,1
0.1818,1,0,18,0.32,0.2,1,2,0.3881,1
0.1212,175.0,incons,19,0.4,0.16,4.0,2,0.4627,1
0.1364,3,incons,20,0.4,0.16,1,2,0.3284,17.07
0.1061,8,0,incons,0.33,0.14,1,2,0.4627,1
0.1061,0,0,22,11.9068,0.12,1,2,0.3582,1
0.1061,3,incons,23,0.33,0.12,1,2,0.3284,1
0.0758,0,0,0,0.36,0.1,1,3,0.3582,1
0.1061,0,0,1,0.36,0.1,1,3,0.2239,1
0.0758,1,0,2,0.38,0.08,1,3,0.2836,1
0.0758,0,0,3,0.45,0.06,1,3,0.1343,1
0.1061,0,0,5,0.45,0.06,1,3,0.1045,1
0.1515,0,0,6,0.45,0.06,incons,3,0,1
0.1061,4,-10.884125,-6.625,0.49,0.06,1,3,0.1045,1
5.2925,1,18.130475,8,0.42,0.1,4.0,3,0,1
0.1364,4,0,9,0.39,0.12,1,3,0.1642,1
0.1818,8,0,10,0.36,0.14,3.5,13.8775,0,1
0.1515,1,0,11,0.43,0.14,2,3,0.1642,1
incons,4,0,23.0,0.4,0.18,2,3,0.2239,1
0.1667,2,0,13,0.4,0.18,1,3,0.2537,1
0.1818,2,0,14,0.34,0.2,-2.5,3,0.2985,1
0.1818,3,0,15,incons,0.2,2,3,0.2836,1
0.197,7,18.130475,16,0.37,0.2,4.0,13.8775,0.2537,1
0.197,175.0,0,17,11.9068,0.2,4.0,3,0.2537,1
0.1667,2,-10.884125,18,0.47,incons,2,3,0.2985,1
0.1212,1,0,19,-7.178,0.14,3,3,0.2537,1
0.1515,0,0,20,0.86,0.14,3,3,0.1642,17.07
0.1515,0,0,21,0.86,0.14,2,3,0.1642,1
