atemp,casual,holiday,hr,hum,temp,weathersit,weekday,windspeed,workingday
5.2925,0,0,12,0.43,0.06,1,6,0.4478,1
0.1818,-11.1,0,15,0.47,3.4328,2,6,0.3582,1
0.1818,0,0,16,0.5,0.02,1,6,0.2537,1
0.2121,0,0,19,0.54,0.02,1,6,16.355,1
0.197,4,0,20,0.59,0.02,1,6,0.2836,1
0.2273,9,0,22,0.63,0.06,3.5,13.8775,0.3881,1
0.2424,19,0,1,0.69,0.12,1,6,0.2537,1
0.2879,9,0,23.0,0.69,0.14,1,6,0.3881,1
0.2121,175.0,0,6,0.74,0.14,3.5,6,0.2537,1
0.2121,1,0,-6.625,0.74,0.16,1,-8.4625,0.2836,1
0.2121,1,0,8,0.74,0.16,1,6,0.2985,1
0.197,-11.1,18.130475,9,0.74,0.14,1,0,0.2239,17.07
0.1818,0,0,10,0.64,0.14,1,0,0.2836,1
5.2925,7,0,11,0.6,0.14,1,0,0.3284,1
0.2273,1,0,12,0.6,0.14,1,0,0.2537,-7.45
0.2121,0,0,13,11.9068,0.14,1,0,0.1642,1
5.2925,0,0,14,0.56,0.14,1,0,0.1343,1
0.2121,0,0,-12.625,0.45,0.16,1,0,0.1045,1
0.2121,1,0,23.0,0.42,0.16,3.5,0,0,1
0.2273,4,0,23.0,0.42,0.16,1,0,0.1045,0
0.2424,7,0,16,-7.178,0.16,1,0,0,12.07
0.2727,18.26,0,17,0.49,-2.388,1,0,0.194,0
0.3182,10,0,18,0.65,0.14,1,0,0,0
0.303,175.0,0,19,0.65,0.16,1,0,0.194,0
0.3333,14,18.130475,20,0.65,0.16,1,0,0.1343,0
0.3333,19,0,21,0.64,0.16,1,0,0.1642,0
0.2576,9,0,0,0.69,0.22,1,0,0,0
0.2727,3,0,1,0.65,0.24,2,0,0.1045,0
5.2925,2,-10.884125,2,0.69,0.26,2,0,0.1045,0
0.2121,5,0,3,0.86,0.26,2,0,0.1045,0
0.2121,2,0,5,0.86,0.3,1,0,0.1343,0
0.2273,0,0,6,0.87,0.32,1,0,0.1343,0
0.1667,-11.1,0,7,0.87,0.32,1,13.8775,0.1045,0
0.1364,0,0,-12.625,0.87,0.3,1,13.8775,0.1045,0
0.1364,3,0,10,0.93,3.4328,1,1,0.1642,0
0.1364,0,0,11,0.93,0.24,1,1,0.1642,0
0.1515,1,0,12,0.93,0.24,1,1,0.3582,0
0.1515,2,0,23.0,0.93,0.22,2,1,0.3881,0
0.2121,6,0,14,0.93,0.22,2,1,0.2239,0
0.2273,2,0,15,0.93,3.4328,2,13.8775,0.4627,0
0.197,1,0,16,0.93,0.24,2,1,16.355,0
0.1818,3,0,18,0.55,0.2,1,1,0.3582,0
0.1515,6,0,19,0.69,0.2,1,1,0.3582,0
0.1515,3,0,20,0.69,0.22,1,1,0.3284,0
0.1667,0,0,22,0.74,0.22,1,1,0.3881,0
0.197,3,0,23,0.74,0.22,2,1,0.2537,0
0.1818,0,0,0,11.9068,0.22,2,1,0.2836,0
5.2925,2,0,1,0.75,0.22,2,1,0.2537,0
-3.4875,0,0,3,0.75,0.22,2,1,0.194,0
0.2273,0,18.130475,20.375,0.75,0.22,2,1,0.194,17.07
0.2273,-11.1,0,23.0,0.8,0.22,2,1,0.2239,17.07
0.2121,0,0,7,0.8,0.22,2,1,0.194,0
0.2121,0,0,-12.625,0.86,0.2,2,1,0.194,0
0.2273,0,0,9,0.86,0.22,2,1,0.2537,0
0.2273,3,0,10,0.86,0.22,1,1,0.1343,0
0.2273,2,0,11,0.86,0.2,2,1,-9.925,0
0.2273,0,0,12,11.9068,3.4328,2,2,16.355,17.07
0.2576,3,0,15,0.8,0.18,1,13.8775,0,0
0.2424,3,0,18,0.75,0.2,2,2,0.1343,0
0.2576,175.0,18.130475,20,0.75,0.2,2,2,0.194,0
0.2424,3,0,21,0.7,0.2,3,2,0.2239,0
0.2273,175.0,0,22,0.75,0.18,3,2,0.2239,1
0.2273,0,0,2,0.64,0.16,3,2,0.1642,1
0.2273,0,18.130475,4,0.64,0.18,3,2,0.2537,1
0.2121,-11.1,0,5,0.69,0.18,3,2,16.355,1
0.2424,0,0,7,0.64,0.18,3,2,0.194,1
0.2424,1,0,8,0.59,0.18,3,-8.4625,16.355,1
5.2925,1,0,9,0.55,0.18,3,2,0.194,1
0.2121,1,0,10,0.59,0.22,3.5,2,0.1642,1
0.2576,4,0,11,0.64,3.4328,3,2,16.355,17.07
0.2727,2,0,12,11.9068,0.22,4,2,0.2537,1
0.3333,1,0,14,0.55,0.24,3,2,0.2836,1
0.3939,18.26,0,15,0.6,0.24,1,2,0.1642,1
0.3939,10,0,16,0.69,0.24,1,-8.4625,0.2239,1
0.3333,8,0,17,0.6,0.22,1,2,0.1045,1
0.3182,7,0,18,0.6,0.24,1,-8.4625,0.2239,1
0.2879,7,0,19,0.69,0.24,-2.5,3,16.355,1
0.197,4,0,21,0.74,0.22,1,3,0.1343,1
0.197,1,0,22,0.74,0.22,1,3,0.0896,1
0.2121,5,0,23,0.8,0.2,2,3,0.1045,1
0.1667,3,0,0,0.8,0.16,2,3,0.1343,1
0.1667,1,0,1,0.8,0.16,2,3,0.0896,1
0.1515,0,-10.884125,-6.625,0.8,0.16,2,3,0.1343,1
0.1667,0,0,3,0.8,0.18,2,3,0,1
0.1364,0,0,5,0.93,0.18,2,3,0,1
0.1212,1,0,6,0.86,0.18,2,3,0,1
0.1212,4,0,7,0.86,3.4328,3,3,0,1
0.1364,6,0,8,0.86,0.22,3,3,0.0896,1
0.1364,9,18.130475,10,0.8,0.22,3,3,0.1642,1
0.1667,175.0,0,12,-7.178,0.24,3,4,-9.925,1
0.197,4,0,13,0.52,0.24,3,4,0.194,1
0.2121,5,18.130475,15,0.61,0.22,1,4,0.1642,1
0.197,5,0,16,-7.178,3.4328,4.0,4,0.1642,1
0.2121,2,0,17,0.56,0.18,1,4,-9.925,1
0.2576,4,0,18,11.9068,0.16,2,4,0.1343,1
0.2273,1,0,19,0.65,0.16,2,4,0.194,1
0.2121,1,0,20,0.65,0.16,2,13.8775,0.2836,1
0.2121,2,0,21,0.65,3.4328,1,13.8775,0.2836,1
0.2273,4,0,22,11.9068,0.16,1,5,16.355,1
0.2273,0,18.130475,23,0.7,0.14,1,5,0.2985,1
0.1667,0,0,0,0.65,0.14,1,5,0.2985,1
0.1667,0,0,1,0.65,0.14,1,5,-9.925,1
0.1515,0,0,2,0.64,0.14,1,5,0.3284,1
0.2273,2,0,3,0.64,0.14,1,5,16.355,1
0.2121,0,0,5,0.64,3.4328,1,5,16.355,17.07
0.2121,5,0,6,0.59,0.18,1,5,0.3582,1
0.2424,8,0,8,0.69,0.3,1,5,0.4627,1
0.2727,15,-10.884125,10,0.64,0.28,1,5,0.3284,1
0.2727,9,0,11,0.59,0.28,2,5,0.3582,1
0.2727,10,0,13,0.59,0.3,2,5,16.355,1
0.2576,3,0,10.375,0.59,0.3,2,5,0.1045,1
0.2424,2,0,17,0.55,3.4328,1,5,0.0896,1
-3.4875,1,0,18,11.9068,0.26,1,5,16.355,1
0.2424,1,0,19,0.56,0.24,3.5,13.8775,0.0896,1
0.2424,3,0,20,0.59,0.24,1,5,0.0896,-7.45
0.2424,1,18.130475,21,0.55,0.24,2,5,0.0896,1
0.2424,5,0,22,0.61,0.24,1,5,0.1642,1
0.2273,0,0,0,0.59,0.22,3.5,13.8775,0.1343,-7.45
0.2576,0,0,1,-7.178,0.22,1,6,0.1343,1
0.2576,0,0,2,0.64,3.4328,1,6,0.1642,1
0.2273,0,0,10.375,0.64,0.18,1,6,0.1045,1
0.2121,3,0,5,0.69,0.16,1,6,0.1045,1
5.2925,10,0,7,0.69,0.16,1,6,0.1343,1
0.2273,10,0,8,0.93,0.16,1,6,0.0896,12.07
0.2727,11,0,10,11.9068,0.16,1,6,0.0896,17.07
0.2273,8,0,11,0.93,0.16,2,6,0.0896,1
0.2121,14,0,12,0.93,3.4328,2,13.8775,0.1045,1
0.2424,2,0,13,0.93,0.16,2,6,0.1045,1
0.2424,6,0,14,0.93,0.18,1,6,0.1045,17.07
0.2576,3,18.130475,16,0.86,0.16,1,6,0.1045,1
0.2727,2,-10.884125,17,0.86,0.16,1,6,0,1
0.2576,7,0,18,0.8,3.4328,-2.5,6,0,1
0.2273,4,0,20,0.75,0.16,1,6,16.355,1
0.2879,3,0,21,0.75,3.4328,1,6,0.1343,1
0.2273,0,0,22,0.81,0.16,1,6,0.194,1
0.2576,175.0,0,23,0.81,0.16,4.0,6,0.1343,1
0.2576,0,0,0,0.87,0.16,2,6,0.194,1
0.2424,0,0,1,0.87,0.16,2,6,0.1343,1
0.2576,2,0,2,0.87,-2.388,2,6,0.3582,1
0.2879,7,-10.884125,3,0.93,3.4328,2,0,0.2239,1
0.2879,15,0,5,0.93,0.14,1,0,0.3582,1
0.303,28,0,6,0.93,0.14,1,0,0.194,1
0.3636,47,0,7,0.93,0.16,1,0,-9.925,1
0.3485,52,-10.884125,8,0.93,-2.388,1,0,0.1343,1
0.3485,42,-10.884125,9,0.93,0.16,1,0,0.1045,1
0.3636,24,0,10,0.93,0.16,1,0,0.1343,1
0.303,13,0,11,0.93,0.18,2,0,16.355,1
0.2879,1,0,12,0.93,0.2,2,0,0.1642,1
0.2879,5,0,13,0.93,0.2,2,0,0.0896,1
-3.4875,5,0,14,0.93,0.22,2,0,0.1045,1
0.2879,4,0,16,0.93,0.24,2,0,16.355,1
0.2879,18.26,0,17,0.93,0.24,2,0,0.194,1
0.2576,0,0,19,0.82,0.24,2,0,0.1642,1
0.2576,0,0,20,0.76,0.24,2,0,0.1343,1
0.2576,1,0,10.375,0.71,-2.388,2,0,0.2537,0
0.2576,1,0,-12.625,0.53,0.22,3.5,0,0.1642,0
0.2424,1,0,23,0.42,3.4328,2,0,-9.925,0
5.2925,7,0,0,0.45,0.2,2,0,0.1343,0
0.2727,3,18.130475,1,0.48,0.22,1,0,0.2537,0
0.3182,11,0,2,0.47,0.22,-2.5,0,0.0896,0
0.3485,7,0,3,0.44,0.22,3,0,0.0896,0
0.3636,10,0,5,0.44,0.22,2,0,0.0896,0
0.3636,8,0,6,-7.178,0.22,2,1,-9.925,0
0.3939,4,0,7,-7.178,0.22,2,1,0.1045,0
0.3485,16,0,8,0.43,0.22,2,1,0,0
5.2925,175.0,0,11,0.43,0.24,4.0,1,0,0
0.3333,6,0,10.375,0.5,0.22,3,1,0,0
0.3485,3,0,13,0.5,0.24,3,1,0,0
0.303,3,-10.884125,14,0.47,0.24,3,-8.4625,0,0
0.3333,6,0,10.375,0.43,0.34,3,1,0,0
0.3182,4,0,16,0.43,0.38,2,1,16.355,0
0.2727,175.0,0,18,0.4,0.38,2,1,0,0
0.2727,0,0,19,0.4,0.36,2,1,0,0
0.2576,0,0,-6.625,0.37,0.36,2,1,0.1045,0
0.2273,0,0,21,11.9068,0.34,2,1,0.1045,0
0.2273,0,-10.884125,22,0.37,0.28,2,1,-9.925,17.07
0.197,3,0,23,0.4,0.24,2,1,0,0
0.197,7,0,0,0.4,0.22,2,1,0,-10.45
0.1818,4,0,1,0.4,0.22,2,1,0.194,0
0.197,2,0,-6.625,0.51,0.2,2,1,16.355,17.07
0.197,3,0,5,0.47,0.18,2,1,-9.925,0
0.197,6,0,6,11.9068,0.18,2,1,0.1045,0
0.1818,4,0,8,0.63,0.16,3,1,0.194,0
0.1818,1,0,9,0.63,0.14,3,2,0.2836,-7.45
0.1364,3,0,11,11.9068,0.14,4.0,2,0.2239,0
0.1061,8,0,12,11.9068,0.16,3,2,0.2537,0
0.1061,0,0,13,0.74,0.18,3,2,0.194,0
0.1061,0,0,16,0.51,0.2,3,2,0.2239,0
0.0758,1,0,17,0.51,0.2,3,2,0.2836,0
0.0758,0,0,18,0.48,0.22,3,2,0.3284,0
0.1061,0,0,19,11.9068,-2.388,3,-8.4625,0.2836,0
0.1515,0,0,20,0.45,0.22,2,2,0.2836,0
0.1061,4,0,21,0.48,0.2,2,2,0.2985,0
5.2925,1,0,22,0.42,3.4328,4.0,2,0.194,0
0.1364,4,0,23,0.56,0.2,2,2,0.194,0
0.1515,1,0,1,0.65,0.18,1,2,0.1045,0
0.1667,2,0,2,0.65,0.18,1,13.8775,0,0
0.1818,2,0,3,0.7,0.2,1,2,0.1343,0
0.1818,3,0,4,0.65,0.2,1,2,0.1343,0
0.197,7,0,5,0.7,0.16,1,2,0.194,1
0.1667,2,0,7,0.65,0.14,1,2,0.2239,1
0.1212,1,0,8,0.75,0.14,1,2,0.1045,1
0.1515,0,0,10,0.93,0.16,1,2,0.1642,1
0.1515,0,0,11,1,0.14,1,3,0.0896,1
0.1364,0,0,-6.625,1,0.14,1,3,0.1045,1
0.1515,0,0,13,0.93,0.16,1,3,0.0896,17.07
0.1212,0,0,15,1,0.22,1,3,0.1045,1
0.0758,0,0,17,1,0.26,1,3,0.1045,1
0.0758,5,0,18,1,0.28,1,3,0,1
0.1061,175.0,18.130475,19,1,3.4328,1,3,0,1
-3.4875,3,0,23,1,-2.388,1,3,0,17.07
0.1818,6,0,0,0.93,0.24,1,3,0,1
0.1818,4,0,2,0.87,0.24,1,3,0,1
0.1818,3,0,4,0.93,0.24,1,13.8775,0,1
0.1667,2,0,5,0.93,0.24,1,3,0,1
0.1818,4,18.130475,6,0.7,0.24,1,3,0.0896,1
0.2121,2,0,23.0,0.65,0.24,1,3,0,1
0.197,4,0,8,0.6,0.22,1,3,0.1343,1
0.1515,1,0,9,0.6,0.2,4.0,3,0,1
0.1364,2,0,-6.625,0.6,3.4328,1,3,0.1045,1
0.1364,1,0,11,0.6,0.22,4.0,3,0.1343,1
5.2925,0,0,10.375,0.6,0.2,-2.5,3,0.1343,1
0.1818,1,18.130475,14,0.65,0.2,2,3,0.1343,1
0.1667,1,0,15,0.65,-2.388,2,4,0.0896,1
0.1212,4,0,16,11.9068,0.22,2,-8.4625,0.194,17.07
0.2273,12,0,18,0.52,0.22,2,4,0.1045,1
0.3182,12,0,19,0.49,0.22,2,4,0.194,1
0.2879,14,0,20,0.46,0.22,2,4,-9.925,1
0.303,175.0,0,22,0.46,0.22,3.5,4,0.1343,1
0.2273,2,0,23,0.46,0.24,2,4,0.2836,1
0.2121,1,0,0,0.49,0.28,2,13.8775,0.1045,1
0.2273,175.0,0,1,0.46,0.28,1,4,0.1045,1
5.2925,5,0,2,0.56,0.3,2,4,0.2239,1
0.2121,2,18.130475,4,0.61,0.26,2,4,16.355,1
0.1667,0,0,6,0.6,0.26,2,4,0.0896,1
0.1364,1,0,8,0.65,0.26,2,4,0,1
0.1515,2,0,23.0,0.75,3.4328,2,4,0.194,1
0.1818,5,0,11,0.8,0.26,2,4,0.2239,1
0.2727,30,0,13,0.86,0.26,2,4,0.1642,1
5.2925,27,-10.884125,14,11.9068,0.24,2,4,0.3881,1
-3.4875,32,0,15,0.93,0.24,2,4,16.355,1
-3.4875,175.0,0,16,0.86,0.28,2,4,0.2985,1
0.303,47,0,17,1,0.3,2,4,0.5224,1
0.303,18.26,0,18,0.8,0.32,2,4,0.5522,1
0.2879,175.0,18.130475,19,0.75,0.34,2,4,0.4925,1
0.2576,4,0,20,0.65,0.34,3,-8.4625,0.5522,1
0.2576,1,0,22,0.62,0.34,3,5,0.3284,1
0.2576,6,0,0,0.57,0.34,3,5,0.2537,1
0.2273,1,0,1,0.54,0.34,3,5,0.4478,1
0.2273,175.0,0,2,0.57,0.3,3,5,0.4478,1
0.2273,-11.1,0,3,0.7,0.28,3,5,0.5224,1
0.2121,0,0,5,0.66,0.28,3,13.8775,0.2537,1
0.2121,175.0,0,6,0.7,0.26,3,5,0.2537,1
0.2273,1,0,8,0.7,0.24,3,5,0.2985,1
0.2273,12,18.130475,9,0.81,0.24,3,5,0.3582,1
0.2727,19,0,10,0.81,0.22,4.0,5,0.3284,1
5.2925,26,0,11,0.87,0.2,3,5,0.3582,1
0.3939,62,0,13,0.93,0.2,2,5,0.2985,17.07
0.4091,40,-10.884125,14,0.93,0.2,2,5,0.3284,1
0.4091,17,0,16,11.9068,0.2,2,5,0.4478,1
0.4091,11,0,17,0.7,0.18,1,5,0.3582,1
-3.4875,15,0,18,0.65,0.18,1,5,0.4179,17.07
-3.4875,5,0,19,0.56,0.16,1,13.8775,0.3881,1
0.4091,3,-10.884125,20,0.52,0.22,-2.5,5,0.3284,17.07
0.3939,3,0,21,0.47,0.24,1,5,0.2537,1
0.3939,1,18.130475,22,0.47,0.3,4.0,5,0.194,1
0.3333,0,0,23,11.9068,0.32,-2.5,-8.4625,0.1642,1
0.3182,1,0,23.0,0.32,0.36,1,5,0,1
0.303,0,0,1,0.37,0.36,1,6,0.0896,1
0.303,1,0,2,0.35,0.38,1,6,0.1045,1
0.3939,7,0,5,0.32,3.4328,4.0,6,0.0896,1
0.4394,-11.1,0,7,0.32,0.34,1,6,0.1045,1
0.5,18.26,0,8,0.4,0.32,1,6,0,-10.45
0.5303,27,0,9,0.4,0.32,1,6,16.355,1
0.5909,14,0,10,0.33,0.32,1,6,0.1045,1
0.5303,19,0,11,11.9068,3.4328,1,6,0.1045,-7.45
0.5,16,0,12,0.33,0.3,1,-8.4625,0.1343,1
0.4545,25,0,13,0.36,0.28,1,6,0,1
0.3182,8,0,15,0.38,0.26,1,6,0.1343,1
0.2879,175.0,0,16,0.45,0.28,1,6,0.1343,1
0.2879,1,0,17,0.45,0.26,1,6,0.1343,1
0.2424,0,0,19,0.49,0.26,1,6,0.1642,1
0.2273,1,0,-12.625,0.42,0.24,1,13.8775,0.1642,1
0.1818,0,0,21,0.39,0.24,1,6,0.2239,1
0.1818,0,0,22,0.36,0.24,1,6,0.1642,1
0.1818,2,0,23,0.43,0.22,1,6,0.2537,1
0.2121,5,0,2,0.4,0.24,1,6,0.2239,1
0.2727,175.0,0,5,0.34,0.24,1,6,0.1343,17.07
0.3333,11,0,7,0.37,0.22,1,6,0.1045,1
0.3182,21,18.130475,8,11.9068,0.22,1,6,0.1343,1
0.2879,3,18.130475,10,0.47,0.22,1,6,0.1642,1
0.2727,3,0,11,-7.178,0.22,1,0,0.1642,1
0.2879,0,0,12,0.86,0.2,1,0,-9.925,1
0.2576,0,18.130475,13,0.86,0.16,2,0,16.355,1
5.2925,0,0,14,0.8,0.16,1,0,0.1642,1
0.197,0,0,15,0.8,0.14,1,0,0.1642,1
0.197,0,0,16,0.86,0.12,1,0,0.1642,1
0.197,0,0,17,-7.178,0.12,2,0,0.1642,1
0.197,1,0,18,0.8,0.1,2,0,0.1343,1
0.2273,6,0,19,0.59,0.1,2,0,0.0896,1
0.2121,2,0,20,0.5,0.08,2,0,-9.925,1
0.2273,14,0,21,-7.178,0.06,2,13.8775,0.0896,1
0.303,7,0,22,0.5,0.06,2,0,0.0896,1
0.3939,-11.1,0,23,11.9068,0.06,2,0,16.355,1
0.4242,13,0,0,0.42,0.06,2,-8.4625,0.1343,1
0.4545,17,18.130475,1,0.42,0.1,2,0,0.1343,1
0.4545,35,0,2,0.39,0.12,1,0,0.1642,1
0.4545,26,0,3,0.34,0.14,1,0,0.1642,1
0.4545,11,18.130475,10.375,0.29,0.14,2,0,0,1
0.4091,20,0,5,0.27,0.18,2,0,0,1
0.3182,18,0,6,0.25,0.18,2,0,0.1343,1
0.3485,175.0,0,8,0.26,0.2,3,0,0.2836,1
0.3333,12,0,9,0.28,0.2,1,0,0.4478,1
-3.4875,2,0,10,11.9068,0.2,1,13.8775,16.355,0
0.3182,2,0,12,0.39,0.14,1,0,0.2537,0
0.3333,3,0,13,0.39,0.14,1,1,16.355,0
0.3333,1,0,15,0.49,0.16,1,1,0.2239,0
0.3333,175.0,0,17,0.54,0.16,1,13.8775,0.194,0
0.3333,18,0,18,0.63,0.14,1,1,0.4179,0
0.3485,16,0,19,0.68,0.14,1,1,0.3284,0
0.3939,18,-10.884125,20,0.73,0.14,2,1,0.0896,0
0.4394,19,0,21,11.9068,0.14,1,1,0.3582,0
0.5152,15,0,22,0.74,0.12,1,1,0.2239,0
0.6212,26,0,23,0.69,0.12,-2.5,1,16.355,0
5.2925,175.0,18.130475,0,0.47,0.1,1,1,0.1642,0
0.5455,18,0,1,0.47,0.1,1,1,0.1045,0
0.5152,11,0,2,0.35,0.12,4.0,1,0.1045,0
0.4697,14,0,3,0.26,-2.388,1,1,0.2537,0
0.4697,8,18.130475,4,0.21,0.14,1,1,0.2537,0
0.5,5,18.130475,6,0.28,0.16,1,1,16.355,0
0.4848,8,0,7,0.24,0.18,1,1,0,0
0.4394,12,18.130475,9,0.33,0.2,1,1,0.0896,0
0.4394,1,0,10,0.55,0.2,1,1,0.1045,0
-3.4875,2,0,11,0.59,3.4328,1,1,0,0
0.4545,0,0,13,0.69,0.16,1,1,0.1642,0
0.4394,2,18.130475,15,0.86,0.14,1,1,0.1343,0
5.2925,8,0,16,0.8,0.14,4.0,1,-9.925,0
0.4242,175.0,0,17,0.8,0.12,1,2,0,17.07
0.4242,15,0,18,11.9068,0.12,3.5,13.8775,0,0
0.4394,175.0,0,20,0.93,0.1,2,2,0,0
0.4848,59,0,21,0.8,0.1,2,2,0,0
0.6212,73,0,23,0.86,0.1,1,2,0,0
0.6212,55,0,0,0.64,0.08,-2.5,2,0,0
5.2925,68,0,1,0.41,0.1,2,2,0,0
0.6212,18.26,0,2,0.28,0.08,4.0,2,0,0
0.6212,29,0,3,0.39,0.1,4.0,2,0,0
0.5152,19,0,7,0.29,0.22,3,2,0,0
0.5,175.0,0,8,0.31,0.24,2,2,0,0
0.4697,6,0,9,0.38,-2.388,3,2,0.1045,0
0.4242,0,0,-6.625,0.41,0.3,3,2,0.0896,0
0.4091,0,0,13,0.44,0.28,3,2,0.0896,0
0.4091,0,0,14,0.51,0.26,2,2,0.0896,0
0.4091,3,0,15,0.64,0.22,2,2,16.355,0
0.4091,18,0,18,0.69,0.2,1,2,0.1343,0
0.4242,34,18.130475,19,-7.178,0.18,1,2,16.355,0
0.4394,47,0,20,0.69,0.16,1,2,0.1045,0
0.4394,38,-10.884125,21,0.55,0.14,1,3,16.355,0
0.4394,52,0,22,0.64,0.14,1,3,0.0896,17.07
0.4394,39,0,0,0.45,0.12,1,3,0,1
0.4242,36,0,1,0.39,0.12,1,3,0,1
0.3182,21,0,2,0.32,0.12,1,3,0,1
0.303,5,0,4,0.29,0.12,1,3,0.1045,1
5.2925,9,0,5,0.3,0.14,1,3,0.1642,1
0.2727,4,0,6,0.3,0.16,1,3,0.1642,1
0.2576,2,0,7,0.28,0.22,1,3,0.3284,1
0.2424,4,0,8,0.28,0.3,1,13.8775,0.3284,1
5.2925,3,0,9,0.32,-2.388,1,3,0.4179,1
0.197,5,0,10,0.35,0.3,1,3,0.4925,1
0.197,0,0,23.0,0.35,0.34,1,3,0.4925,1
0.1818,9,0,12,0.35,0.34,1,3,0.5522,1
0.1818,-11.1,0,13,0.35,0.34,1,3,0.4627,1
0.1818,1,0,14,0.35,0.32,1,13.8775,0.4925,1
0.2273,2,0,15,0.37,0.28,1,3,0.4478,1
-3.4875,7,0,16,0.37,0.28,1,3,0.4179,1
0.303,72,0,18,0.46,0.26,1,3,0.3881,1
0.3182,62,0,19,0.53,0.24,1,3,0.5224,1
0.3333,175.0,18.130475,20,0.53,0.22,3.5,3,0.5821,1
0.3636,59,0,10.375,0.46,0.2,1,3,0.3881,1
0.3485,175.0,0,22,0.46,0.2,4.0,3,0.4627,-7.45
0.3333,30,0,23,0.4,-2.388,1,4,0.3284,1
0.3333,3,0,0,0.37,0.2,1,4,0.4627,1
0.3636,12,0,1,0.33,0.2,1,4,0.3582,1
0.303,9,0,5,0.19,0.22,1,4,0.3284,1
0.303,7,0,6,0.15,0.24,1,4,0.3582,1
0.303,2,0,7,0.21,0.3,1,4,0.2239,1
0.303,1,0,8,0.27,0.32,1,4,0.2836,1
0.303,2,0,9,0.33,0.36,-2.5,-8.4625,0.1343,1
0.3182,1,0,10,0.4,3.4328,4.0,4,0.1045,1
0.3636,1,0,11,0.43,0.4,1,4,0,1
-3.4875,2,0,12,0.46,3.4328,1,4,0.1045,1
0.4242,3,0,13,0.5,0.42,1,4,0,1
0.303,7,0,14,0.46,0.42,1,4,0.1642,1
0.3333,20,-10.884125,15,11.9068,0.4,1,4,0,1
0.3182,175.0,0,16,0.49,0.4,1,13.8775,0.1642,1
0.2727,28,0,17,0.42,0.4,1,4,0.2239,12.07
0.2727,11,0,18,0.41,0.4,1,4,0.2537,1
0.2424,8,0,19,0.37,0.4,1,4,0.2985,1
0.2576,18,0,20,0.32,0.4,1,4,0.2836,1
0.2121,2,0,21,0.32,0.38,1,4,0.2537,1
5.2925,0,0,22,0.32,0.38,1,4,0.2537,1
0.2121,0,0,23,0.32,0.36,1,4,0.2985,1
0.197,1,0,0,0.29,0.34,1,5,0.2537,1
0.1667,0,0,2,0.25,0.32,1,5,0.1642,17.07
0.1212,0,0,3,-7.178,-2.388,1,5,0.1642,1
0.1212,0,0,4,0.21,0.34,1,5,0.1642,1
0.1212,5,0,5,0.19,-2.388,4.0,5,0.194,1
0.1818,0,0,6,0.19,0.4,1,5,0.194,1
0.2273,7,0,7,0.19,0.44,1,5,0.1343,1
0.2273,3,-10.884125,8,0.22,0.52,1,5,0.1343,1
0.2273,9,0,9,0.22,0.56,1,13.8775,0.2239,1
0.2273,2,0,10,0.26,0.58,1,5,16.355,1
-3.4875,6,0,13,0.44,-2.388,1,5,0.2836,1
0.1818,4,0,14,0.44,0.52,1,5,0.4179,1
0.197,3,0,15,0.41,3.4328,1,5,0.3284,1
0.197,2,0,16,0.44,0.4,2,5,16.355,1
0.1364,0,0,17,0.47,0.38,2,5,0.2985,1
0.1515,0,0,18,0.51,0.36,2,5,0.3582,1
0.1515,0,0,19,0.47,0.36,2,5,0.3881,1
0.1364,0,0,20,0.55,0.34,4.0,5,0.2985,1
0.1515,0,0,21,11.9068,0.32,2,5,0.2836,1
0.1515,0,-10.884125,22,11.9068,0.3,2,5,0.2537,1
0.1515,8,0,0,0.41,0.3,4.0,13.8775,0.2985,1
0.2121,9,0,1,0.34,0.28,1,5,0.194,1
0.2879,11,0,4,0.3,0.22,3.5,6,0.1343,1
0.3182,9,0,5,0.28,0.2,2,-8.4625,0.1045,1
0.3333,17,0,6,0.28,0.2,2,6,0.0896,17.07
0.3485,18,0,7,0.31,0.2,2,6,0,1
0.3636,15,0,8,0.28,0.22,1,6,0,1
0.3333,3,0,9,0.4,0.24,1,6,0.1045,1
0.2424,2,0,11,11.9068,0.26,1,6,0.1045,1
0.2879,2,0,12,0.46,0.28,1,6,0.0896,1
0.2879,1,0,13,0.53,3.4328,1,6,0.0896,1
0.2576,1,0,23.0,0.4,0.34,1,6,0.0896,1
0.2576,175.0,18.130475,10.375,0.53,0.34,1,6,0,12.07
0.2273,0,0,17,0.53,0.32,1,6,0,1
0.197,0,0,20,0.57,0.28,1,6,0.1642,1
5.2925,8,0,22,0.7,0.24,1,6,0.194,1
0.2879,8,0,1,0.57,0.22,1,6,0.1343,1
0.3333,10,0,2,0.54,0.2,1,6,0.194,1
0.3939,16,0,3,0.44,0.2,1,6,16.355,1
5.2925,2,0,4,0.41,0.2,1,6,0.1642,1
0.4091,5,0,5,0.34,0.2,1,-8.4625,0.194,1
0.3939,4,0,6,11.9068,0.2,1,6,0,1
0.3485,9,0,7,0.28,0.2,1,6,0,1
0.303,5,18.130475,8,-7.178,0.22,1,0,0,1
0.303,3,0,9,0.32,0.24,1,0,0.1343,1
0.303,7,-10.884125,11,0.55,0.34,1,0,16.355,1
5.2925,-11.1,1,12,0.59,3.4328,1,0,0.0896,1
5.2925,175.0,18.130475,13,0.55,0.42,1,0,0,1
0.3485,1,1,15,0.67,0.46,1,0,0,1
0.3485,0,1,16,0.72,0.46,1,0,0,1
