atemp,casual,cnt,holiday,hr,hum,registered,temp,weathersit,weekday,windspeed,workingday
0.1212,2.0,139.0,0.0,9.0,0.5,137.0,,1.0,4.0,0.3284,
0.1364,2.0,38.0,0.0,10.0,incons,36.0,0.16,incons,4.0,0.3582,-10.450000000000001
0.1667,4.0,37.0,-10.884125000000001,11.0,0.44,incons,0.2,2.0,4.0,0.4478,1.0
0.1667,3.0,52.0,0.0,12.0,0.44,49.0,incons,1.0,,0.4179,1.0
0.197,18.259999999999998,83.0,0.0,13.0,0.41,26.727362499999998,0.22,1.0,-8.462499999999999,0.4478,1.0
0.197,3.0,37.3936875,0.0,14.0,0.41,39.0,0.22,1.0,4.0,incons,1.0
0.2121,5.0,60.0,0.0,15.0,0.38,55.0,,1.0,4.0,0.2985,1.0
0.2121,2.0,78.0,0.0,16.0,0.38,76.0,0.24,1.0,4.0,0.3582,1.0
0.1818,4.0,162.0,0.0,17.0,0.4,158.0,0.2,1.0,4.0,0.2836,1.0
0.1818,3.0,37.3936875,0.0,18.0,0.4,141.0,0.2,-2.5,4.0,0.3284,1.0
0.1515,1.0,99.0,0.0,10.375,0.47,98.0,0.16,1.0,4.0,16.355,1.0
0.1515,0.0,64.0,0.0,20.0,0.47,,0.16,1.0,4.0,0.2239,1.0
0.1212,0.0,40.0,0.0,21.0,0.46,40.0,0.14,1.0,4.0,0.2985,1.0
0.1212,0.0,30.0,0.0,22.0,0.46,30.0,0.14,1.0,4.0,0.3284,
0.1364,1.0,15.0,18.130475,23.0,0.5,14.0,0.12,1.0,4.0,0.194,1.0
incons,0.0,14.0,0.0,0.0,0.5,14.0,0.12,1.0,5.0,0.194,
0.1212,0.0,5.0,0.0,1.0,0.54,,0.1,1.0,5.0,0.1642,1.0
0.1212,0.0,1.0,0.0,2.0,0.54,incons,0.1,1.0,5.0,0.1343,1.0
0.1364,0.0,1.0,0.0,3.0,0.54,1.0,0.1,1.0,5.0,0.1045,1.0
0.1364,incons,8.0,0.0,,0.54,8.0,0.1,1.0,5.0,,1.0
0.1818,0.0,-22.322812499999998,0.0,6.0,0.54,17.0,0.1,-2.5,5.0,,1.0
0.1212,0.0,70.0,0.0,7.0,0.74,70.0,0.1,1.0,5.0,0.1642,1.0
0.1667,2.0,158.0,0.0,,,156.0,0.12,1.0,5.0,16.355,
0.1515,0.0,117.0,0.0,9.0,0.69,117.0,incons,1.0,5.0,0.1343,12.07
0.1818,4.0,44.0,0.0,10.0,0.55,40.0,0.18,1.0,5.0,0.194,1.0
0.1667,6.0,37.3936875,0.0,11.0,0.51,47.0,0.18,1.0,5.0,0.2836,1.0
0.197,2.0,61.0,0.0,12.0,0.44,59.0,0.2,3.5,5.0,0.2537,1.0
0.197,4.0,77.0,0.0,incons,0.37,73.0,0.22,1.0,5.0,0.3881,1.0
-3.4875,5.0,64.0,0.0,14.0,-7.178000000000001,,0.22,1.0,5.0,0.2836,1.0
0.2424,9.0,68.0,0.0,15.0,0.38,59.0,incons,1.0,5.0,0.1642,1.0
0.2424,3.0,37.3936875,0.0,16.0,0.41,87.0,0.22,1.0,5.0,16.355,1.0
0.2273,incons,159.0,0.0,17.0,0.41,155.0,0.22,1.0,5.0,0.1642,1.0
0.2576,incons,139.0,0.0,18.0,incons,134.0,0.2,1.0,5.0,0.0,1.0
0.197,3.0,92.0,0.0,,0.59,89.0,0.16,1.0,5.0,0.0896,1.0
0.2424,0.0,68.0,0.0,20.0,0.59,68.0,0.18,1.0,-8.462499999999999,0.0,1.0
0.2273,4.0,,0.0,incons,0.69,48.0,incons,1.0,,0.0,1.0
,2.0,36.0,0.0,22.0,0.69,34.0,0.16,2.0,5.0,0.0,1.0
,1.0,27.0,0.0,23.0,0.55,26.0,0.18,2.0,5.0,0.0,-7.45
0.2424,3.0,28.0,0.0,10.375,0.55,25.0,0.18,1.0,6.0,0.0,0.0
0.197,2.0,20.0,0.0,1.0,0.59,18.0,incons,2.0,6.0,0.0896,0.0
0.197,0.0,12.0,0.0,2.0,0.59,12.0,0.16,2.0,6.0,-9.925,0.0
0.2273,incons,8.0,0.0,incons,0.59,7.0,0.16,2.0,6.0,0.0,0.0
0.2273,0.0,5.0,0.0,4.0,0.59,-15.878937499999997,0.16,2.0,6.0,0.0,incons
0.2273,0.0,1.0,0.0,5.0,0.59,1.0,incons,1.0,6.0,,0.0
0.1667,incons,3.0,0.0,6.0,0.63,2.0,0.14,1.0,6.0,0.1045,0.0
-3.4875,-11.1,10.0,0.0,7.0,0.63,9.0,0.14,,6.0,0.0,0.0
0.1515,1.0,-22.322812499999998,0.0,8.0,0.63,,3.4328000000000003,1.0,6.0,0.1343,0.0
0.1818,2.0,33.0,0.0,9.0,0.64,31.0,,1.0,6.0,0.1343,0.0
-3.4875,2.0,59.0,0.0,10.0,0.59,57.0,0.18,incons,6.0,0.1642,0.0
0.197,18.0,72.0,0.0,11.0,0.55,54.0,0.2,1.0,6.0,0.2239,0.0
-3.4875,15.0,89.0,0.0,12.0,0.48,74.0,0.24,1.0,6.0,0.2239,0.0
0.2576,21.0,101.0,0.0,13.0,0.38,80.0,0.28,1.0,6.0,0.2985,-10.450000000000001
0.2879,,118.0,0.0,14.0,0.39,92.0,0.3,1.0,-8.462499999999999,0.2836,0.0
0.3182,21.0,129.0,0.0,15.0,0.36,108.0,0.32,2.0,incons,0.194,
0.3333,33.0,,0.0,16.0,0.34,95.0,0.34,2.0,6.0,0.194,0.0
0.303,29.0,83.0,0.0,17.0,0.36,54.0,3.4328000000000003,2.0,6.0,,0.0
0.2879,15.0,84.0,0.0,18.0,0.45,69.0,0.3,2.0,6.0,0.2537,0.0
0.303,14.0,74.0,0.0,19.0,0.39,60.0,0.32,2.0,6.0,0.2537,0.0
0.303,6.0,41.0,0.0,,0.39,35.0,0.32,2.0,6.0,0.2537,0.0
0.303,6.0,57.0,-10.884125000000001,21.0,,51.0,0.32,2.0,6.0,0.2239,0.0
incons,-11.1,26.0,0.0,22.0,0.42,26.0,0.3,2.0,6.0,0.1045,0.0
0.2879,5.0,44.0,0.0,23.0,0.45,39.0,0.3,1.0,6.0,0.2836,0.0
0.303,6.0,39.0,,0.0,0.56,33.0,0.26,1.0,0.0,0.0,
0.2727,4.0,23.0,0.0,1.0,0.56,19.0,0.26,1.0,0.0,0.1343,0.0
0.2879,3.0,16.0,0.0,2.0,-7.178000000000001,13.0,0.26,1.0,0.0,,0.0
0.2727,9.0,15.0,0.0,3.0,-7.178000000000001,6.0,0.22,1.0,0.0,0.0,0.0
0.2576,0.0,1.0,0.0,4.0,incons,incons,0.26,1.0,0.0,0.1642,0.0
0.2576,1.0,2.0,0.0,5.0,0.56,1.0,0.26,2.0,0.0,0.1642,0.0
0.2576,0.0,1.0,0.0,6.0,0.56,1.0,0.26,-2.5,0.0,0.1642,incons
0.2121,0.0,3.0,0.0,,0.56,3.0,0.24,,-8.462499999999999,0.2985,0.0
0.2121,0.0,18.0,0.0,8.0,0.55,18.0,0.22,1.0,0.0,0.2836,0.0
0.2121,3.0,incons,0.0,9.0,0.51,29.0,0.22,1.0,0.0,0.2537,0.0
0.2121,8.0,79.0,0.0,10.0,0.51,71.0,0.22,1.0,incons,incons,0.0
0.2273,23.0,93.0,0.0,,0.44,70.0,0.24,1.0,0.0,0.2537,incons
0.2121,29.0,104.0,incons,12.0,0.41,75.0,0.24,1.0,incons,0.2836,0.0
0.2273,23.0,118.0,0.0,13.0,0.35,95.0,0.26,1.0,0.0,0.2985,
0.2727,22.0,91.0,0.0,14.0,0.36,,incons,1.0,0.0,0.2537,0.0
0.2424,35.0,113.0,0.0,,0.38,78.0,,1.0,,0.2537,0.0
-3.4875,,99.0,0.0,,-7.178000000000001,incons,incons,1.0,0.0,0.2239,0.0
0.2121,23.0,105.0,0.0,17.0,0.37,26.727362499999998,incons,1.0,0.0,0.2537,0.0
0.2121,11.0,67.0,0.0,18.0,0.4,56.0,0.2,1.0,0.0,0.1642,0.0
0.197,14.0,61.0,0.0,incons,0.47,47.0,0.18,1.0,0.0,0.1343,0.0
0.197,7.0,57.0,0.0,20.0,0.47,50.0,0.18,1.0,0.0,0.1642,-10.450000000000001
0.197,6.0,28.0,0.0,,incons,incons,0.18,1.0,0.0,0.1642,-10.450000000000001
0.2121,2.0,21.0,incons,22.0,0.49,,0.2,2.0,0.0,0.1343,
0.2273,0.0,18.0,0.0,23.0,0.4,18.0,0.2,2.0,0.0,0.1045,
0.197,1.0,17.0,1.0,0.0,0.47,16.0,0.2,2.0,1.0,0.2239,0.0
0.197,1.0,16.0,1.0,1.0,0.44,15.0,0.2,2.0,1.0,0.194,0.0
0.1667,0.0,8.0,,2.0,0.43,8.0,0.18,2.0,,0.2537,-10.450000000000001
0.1818,0.0,2.0,1.0,10.375,0.43,2.0,0.18,2.0,1.0,0.194,0.0
0.197,1.0,3.0,1.0,4.0,0.43,2.0,0.18,2.0,1.0,0.1343,0.0
-3.4875,0.0,incons,1.0,5.0,0.43,1.0,0.18,2.0,1.0,0.1642,0.0
,0.0,5.0,1.0,6.0,0.43,,0.18,2.0,1.0,0.194,0.0
0.1818,18.259999999999998,13.0,1.0,-12.625,0.5,9.0,0.16,-2.5,13.8775,0.1343,0.0
0.1515,3.0,33.0,1.0,8.0,11.9068,30.0,3.4328000000000003,2.0,1.0,0.2239,0.0
incons,8.0,47.0,1.0,9.0,-7.178000000000001,-15.878937499999997,0.16,2.0,1.0,-9.925,0.0
0.1515,7.0,57.0,1.0,10.0,0.5,50.0,0.16,2.0,1.0,0.2537,17.07
-3.4875,9.0,64.0,1.0,11.0,0.55,55.0,0.16,2.0,1.0,0.194,0.0
0.197,10.0,80.0,1.0,12.0,0.47,70.0,0.18,2.0,1.0,0.1343,0.0
0.197,13.0,93.0,1.0,13.0,0.47,-15.878937499999997,0.18,2.0,1.0,0.1343,0.0
0.2121,incons,86.0,18.130475,14.0,0.43,74.0,0.18,2.0,1.0,0.1045,0.0
0.2121,18.259999999999998,93.0,18.130475,15.0,0.47,72.0,0.2,2.0,1.0,incons,0.0
0.2121,6.0,82.0,1.0,16.0,,76.0,0.2,2.0,1.0,0.1642,0.0
0.197,4.0,,1.0,10.375,0.51,67.0,0.2,1.0,1.0,0.194,0.0
0.1667,7.0,92.0,1.0,,0.55,85.0,0.18,2.0,1.0,0.2537,0.0
0.1818,2.0,60.0,1.0,19.0,0.59,26.727362499999998,0.18,3.0,1.0,0.194,0.0
incons,4.0,33.0,1.0,20.0,0.8,29.0,0.16,3.0,1.0,0.194,0.0
0.1515,,27.0,1.0,21.0,0.8,24.0,0.16,3.0,1.0,0.194,incons
0.1212,,13.0,1.0,22.0,0.93,13.0,0.14,3.0,1.0,0.2537,0.0
0.1364,1.0,4.0,1.0,23.0,-7.178000000000001,3.0,0.16,3.0,1.0,-9.925,0.0
0.1818,0.0,3.0,0.0,12.0,0.86,3.0,0.2,2.0,2.0,0.3284,1.0
0.197,0.0,22.0,0.0,13.0,0.86,22.0,0.2,2.0,incons,0.2239,1.0
0.2273,2.0,-22.322812499999998,0.0,14.0,0.8,26.0,0.22,2.0,2.0,0.1642,1.0
0.2273,3.0,35.0,0.0,15.0,0.87,32.0,0.22,2.0,2.0,0.1642,1.0
0.2273,0.0,61.0,,16.0,0.87,61.0,0.22,2.0,2.0,0.194,17.07
0.2273,1.0,125.0,0.0,17.0,0.82,124.0,0.22,2.0,2.0,0.194,1.0
0.2273,1.0,,0.0,18.0,0.8,132.0,0.22,2.0,2.0,0.1642,1.0
0.2273,1.0,99.0,0.0,19.0,0.8,98.0,0.22,2.0,2.0,0.1343,1.0
0.2727,0.0,83.0,0.0,20.0,0.87,83.0,0.22,,2.0,incons,1.0
0.2424,18.259999999999998,41.0,,21.0,0.93,41.0,0.22,2.0,2.0,0.1045,1.0
0.2576,0.0,33.0,0.0,22.0,0.93,33.0,0.22,2.0,2.0,0.0896,1.0
0.2727,1.0,20.0,0.0,23.0,0.93,19.0,0.22,2.0,2.0,0.0,1.0
0.2727,,,0.0,incons,0.93,3.0,0.22,2.0,3.0,0.0,1.0
0.2273,1.0,7.0,0.0,incons,0.93,6.0,-2.388,3.0,3.0,0.1343,1.0
incons,-11.1,3.0,0.0,2.0,,3.0,0.22,3.0,3.0,0.1343,1.0
0.2273,1.0,2.0,0.0,4.0,0.93,26.727362499999998,0.22,incons,-8.462499999999999,0.1343,1.0
0.2576,0.0,7.0,0.0,5.0,,7.0,3.4328000000000003,2.0,3.0,0.0896,1.0
0.2576,0.0,32.0,0.0,,,32.0,incons,2.0,3.0,0.0896,1.0
0.2576,1.0,90.0,0.0,7.0,0.92,89.0,0.24,2.0,3.0,0.1045,1.0
0.2576,1.0,197.0,0.0,8.0,0.93,196.0,3.4328000000000003,2.0,3.0,0.1045,1.0
0.2576,2.0,109.0,0.0,9.0,0.93,,0.24,2.0,3.0,0.1045,1.0
0.2727,1.0,47.0,0.0,10.0,0.93,46.0,,2.0,3.0,0.1343,1.0
0.303,,52.0,0.0,11.0,0.87,47.0,0.28,2.0,,0.0896,1.0
0.3182,5.0,incons,0.0,12.0,0.81,65.0,0.3,2.0,13.8775,0.0896,1.0
0.4091,,78.0,0.0,13.0,0.62,67.0,,1.0,3.0,0.2836,
0.4091,7.0,75.0,0.0,14.0,0.58,68.0,0.4,1.0,3.0,0.2537,1.0
0.4091,4.0,82.0,0.0,15.0,0.54,78.0,0.4,1.0,3.0,0.2836,
0.3939,10.0,104.0,0.0,16.0,0.58,94.0,0.38,1.0,3.0,0.3881,1.0
0.3333,7.0,,0.0,17.0,0.57,190.0,0.36,1.0,3.0,0.3284,1.0
0.3182,5.0,161.0,0.0,18.0,0.61,156.0,0.34,,,0.2836,1.0
0.2879,4.0,112.0,0.0,19.0,0.57,108.0,0.32,1.0,3.0,0.4179,1.0
0.303,2.0,76.0,0.0,20.0,0.49,74.0,0.32,-2.5,incons,0.2985,1.0
0.2879,4.0,59.0,0.0,,,55.0,0.32,1.0,3.0,0.4179,1.0
5.2925,6.0,59.0,0.0,22.0,0.52,53.0,0.3,1.0,3.0,,1.0
0.2727,1.0,28.0,0.0,23.0,0.52,27.0,0.3,1.0,3.0,0.4627,1.0
0.2273,,13.0,incons,0.0,0.56,8.0,0.26,1.0,4.0,0.3881,1.0
0.2727,2.0,5.0,0.0,1.0,0.56,3.0,0.26,1.0,,0.0,1.0
,0.0,2.0,0.0,2.0,0.56,2.0,,1.0,4.0,0.0,1.0
0.2576,0.0,1.0,0.0,3.0,0.56,1.0,0.26,1.0,incons,,1.0
0.2576,incons,1.0,,4.0,0.56,1.0,,1.0,4.0,0.1642,-10.450000000000001
0.2273,0.0,6.0,0.0,5.0,0.6,6.0,0.24,1.0,4.0,-9.925,1.0
0.2121,0.0,35.0,0.0,6.0,0.6,35.0,0.22,,4.0,0.2239,1.0
0.2121,1.0,101.0,0.0,20.375,0.55,100.0,0.22,1.0,,0.2239,1.0
0.2121,2.0,249.0,0.0,8.0,0.55,247.0,0.22,1.0,4.0,0.2836,1.0
0.2273,3.0,143.0,0.0,9.0,0.52,140.0,0.24,2.0,4.0,-9.925,1.0
0.2273,incons,57.0,0.0,,0.48,56.0,0.26,1.0,4.0,0.2985,1.0
0.2727,5.0,68.0,0.0,11.0,0.45,-15.878937499999997,0.28,2.0,4.0,0.1642,1.0
0.3333,7.0,84.0,0.0,12.0,0.42,77.0,0.3,2.0,4.0,0.0,1.0
0.2879,12.0,98.0,0.0,,0.45,86.0,0.28,2.0,4.0,0.1045,
0.303,6.0,81.0,0.0,14.0,0.45,75.0,,2.0,4.0,0.1343,17.07
0.3182,8.0,70.0,0.0,15.0,0.45,62.0,0.32,2.0,4.0,0.194,1.0
0.303,8.0,91.0,0.0,16.0,0.49,83.0,0.3,2.0,4.0,0.1343,1.0
0.3182,8.0,215.0,0.0,17.0,0.49,207.0,0.3,2.0,incons,,1.0
0.2576,1.0,185.0,0.0,18.0,0.56,184.0,0.26,2.0,4.0,0.194,1.0
5.2925,6.0,152.0,0.0,19.0,0.56,146.0,0.26,,4.0,0.3284,17.07
-3.4875,2.0,126.0,0.0,20.0,0.6,,0.26,3.5,4.0,0.2836,1.0
0.2273,3.0,57.0,0.0,incons,0.6,54.0,,2.0,4.0,0.2537,1.0
0.2121,0.0,56.0,0.0,22.0,0.65,56.0,3.4328000000000003,2.0,4.0,0.2836,
0.2121,,31.0,0.0,incons,0.65,incons,0.24,2.0,4.0,0.3284,1.0
-3.4875,1.0,21.0,0.0,0.0,0.7,20.0,0.24,2.0,5.0,0.2537,1.0
0.2273,0.0,6.0,0.0,1.0,0.7,6.0,0.24,2.0,5.0,0.2537,1.0
0.2424,18.259999999999998,2.0,0.0,2.0,0.75,2.0,0.24,3.0,5.0,0.1642,1.0
0.2121,0.0,1.0,0.0,3.0,,1.0,-2.388,3.0,5.0,0.2985,1.0
0.2576,0.0,1.0,0.0,10.375,0.87,1.0,0.22,2.0,5.0,0.0896,1.0
0.197,incons,5.0,0.0,5.0,0.6,4.0,0.24,1.0,5.0,0.4179,incons
0.2121,incons,27.0,0.0,6.0,0.55,27.0,0.22,1.0,5.0,0.2537,1.0
5.2925,2.0,,0.0,7.0,0.51,66.0,0.2,1.0,5.0,0.2836,1.0
0.1818,7.0,217.0,,8.0,-7.178000000000001,210.0,0.2,1.0,5.0,0.3284,1.0
0.1818,7.0,166.0,0.0,9.0,-7.178000000000001,159.0,0.2,1.0,5.0,0.3582,1.0
0.1667,6.0,63.0,0.0,10.0,0.47,57.0,0.2,1.0,5.0,0.4627,1.0
0.1818,6.0,59.0,,11.0,-4.177999999999999,53.0,0.22,1.0,5.0,0.4627,1.0
0.1818,11.0,78.0,0.0,12.0,0.27,67.0,0.22,1.0,5.0,,1.0
0.1515,8.0,,0.0,13.0,11.9068,65.0,0.2,1.0,-8.462499999999999,-9.925,1.0
0.1515,6.0,-22.322812499999998,0.0,14.0,0.25,56.0,0.2,1.0,5.0,incons,1.0
0.1212,4.0,65.0,18.130475,15.0,0.26,61.0,0.16,1.0,5.0,0.4478,1.0
0.1364,0.0,-22.322812499999998,0.0,16.0,0.26,97.0,incons,1.0,5.0,0.3582,17.07
0.1212,10.0,incons,0.0,17.0,,151.0,0.14,1.0,5.0,0.3582,1.0
0.1212,1.0,120.0,0.0,18.0,0.3,119.0,0.12,1.0,5.0,0.2537,1.0
5.2925,3.0,incons,0.0,19.0,0.3,93.0,0.12,1.0,5.0,incons,-7.45
0.0758,1.0,53.0,0.0,10.375,0.33,52.0,,1.0,5.0,16.355,1.0
0.0758,0.0,41.0,0.0,21.0,0.38,41.0,0.08,1.0,incons,0.2836,1.0
0.0303,1.0,34.0,0.0,22.0,0.41,33.0,0.06,1.0,5.0,0.3881,1.0
0.0455,,27.0,0.0,23.0,0.38,27.0,0.06,1.0,5.0,incons,1.0
0.0303,0.0,13.0,0.0,0.0,0.45,13.0,0.04,1.0,6.0,0.2537,0.0
0.0,3.0,incons,,incons,0.41,26.727362499999998,3.4328000000000003,2.0,6.0,0.3881,12.07
,0.0,11.0,0.0,2.0,0.41,11.0,0.04,-2.5,6.0,0.2537,0.0
0.0303,1.0,7.0,0.0,3.0,0.41,-15.878937499999997,0.04,,6.0,0.2836,0.0
0.0152,0.0,3.0,0.0,20.375,0.48,3.0,0.02,2.0,6.0,0.2985,0.0
0.0303,0.0,incons,0.0,-12.625,0.44,2.0,0.02,2.0,6.0,0.2239,0.0
0.0152,0.0,8.0,0.0,7.0,0.44,8.0,0.02,1.0,6.0,0.2836,0.0
0.0,1.0,27.0,0.0,8.0,0.44,26.0,incons,1.0,6.0,0.3284,incons
0.0303,3.0,37.3936875,0.0,9.0,0.41,37.0,0.04,1.0,incons,0.2537,0.0
0.0606,3.0,53.0,0.0,10.0,0.41,50.0,0.04,2.0,6.0,0.1642,0.0
0.0758,4.0,63.0,0.0,11.0,,59.0,0.06,2.0,6.0,0.1343,0.0
0.1061,10.0,70.0,0.0,12.0,0.38,60.0,0.06,incons,6.0,0.1045,0.0
0.1667,12.0,incons,-10.884125000000001,,0.35,72.0,0.08,1.0,6.0,0.0,0.0
0.1364,11.0,75.0,0.0,14.0,0.33,64.0,,1.0,6.0,0.1045,0.0
0.1515,-11.1,103.0,-10.884125000000001,15.0,0.28,93.0,0.12,1.0,6.0,0.0,0.0
0.1364,11.0,83.0,0.0,16.0,0.28,72.0,0.12,1.0,6.0,0.194,0.0
0.197,8.0,67.0,0.0,17.0,0.28,59.0,0.12,1.0,,0.0,0.0
0.0909,0.0,54.0,0.0,18.0,0.35,54.0,0.08,1.0,6.0,0.194,0.0
0.1061,6.0,59.0,0.0,19.0,0.35,53.0,0.08,1.0,6.0,0.1343,0.0
0.0758,1.0,45.0,0.0,20.0,11.9068,44.0,0.06,,6.0,0.1642,0.0
0.1061,0.0,39.0,0.0,21.0,-7.178000000000001,39.0,0.06,1.0,6.0,0.0896,0.0
0.1515,7.0,,0.0,22.0,incons,23.0,0.06,1.0,-8.462499999999999,0.0,0.0
0.0758,18.259999999999998,33.0,0.0,23.0,0.57,31.0,incons,1.0,6.0,0.1045,0.0
0.0758,2.0,22.0,,0.0,0.57,20.0,,1.0,0.0,0.1045,0.0
0.0758,1.0,13.0,0.0,1.0,0.57,12.0,incons,1.0,0.0,0.1045,0.0
0.0606,3.0,18.0,,2.0,incons,15.0,0.02,1.0,0.0,0.1343,0.0
0.0606,1.0,5.0,0.0,3.0,0.62,4.0,0.02,1.0,0.0,0.1343,0.0
-3.4875,0.0,3.0,0.0,5.0,0.57,3.0,0.04,2.0,0.0,0.1045,0.0
0.0758,18.259999999999998,1.0,0.0,6.0,0.57,1.0,0.04,2.0,0.0,0.1045,0.0
0.1061,1.0,2.0,0.0,7.0,0.58,1.0,0.08,1.0,0.0,0.1642,0.0
0.0758,incons,19.0,incons,8.0,0.62,17.0,3.4328000000000003,1.0,0.0,0.1642,0.0
0.0758,3.0,28.0,0.0,9.0,0.54,25.0,0.1,1.0,0.0,0.3582,
0.1061,7.0,58.0,0.0,10.0,11.9068,51.0,0.14,1.0,0.0,0.3881,
0.1364,22.0,99.0,0.0,11.0,0.43,77.0,,3.5,0.0,0.2239,0.0
0.1212,24.0,116.0,0.0,12.0,0.37,92.0,0.16,1.0,0.0,0.4627,0.0
0.1061,18.259999999999998,87.0,,13.0,0.33,75.0,0.14,1.0,0.0,,0.0
0.1364,17.0,110.0,18.130475,14.0,0.28,93.0,0.16,1.0,0.0,0.3582,0.0
0.1364,13.0,,0.0,15.0,0.28,64.0,0.16,3.5,0.0,0.3582,0.0
0.1364,incons,-22.322812499999998,incons,,0.26,56.0,0.16,1.0,0.0,0.3284,17.07
0.1061,incons,55.0,0.0,17.0,0.26,50.0,0.14,1.0,0.0,0.3881,incons
0.1212,5.0,incons,0.0,18.0,-7.178000000000001,44.0,0.12,1.0,0.0,0.2537,incons
0.1212,5.0,50.0,0.0,19.0,0.3,45.0,0.12,1.0,0.0,0.2836,0.0
0.1061,4.0,35.0,0.0,20.0,0.36,31.0,0.1,1.0,0.0,0.2537,incons
0.1061,5.0,25.0,0.0,21.0,0.36,20.0,0.1,1.0,0.0,0.194,0.0
0.0909,5.0,28.0,0.0,22.0,0.38,23.0,,1.0,0.0,0.194,0.0
0.0606,4.0,21.0,0.0,23.0,0.41,17.0,0.06,1.0,,0.2239,0.0
0.0606,0.0,7.0,0.0,0.0,0.41,7.0,0.06,1.0,13.8775,0.194,1.0
0.0455,0.0,1.0,0.0,1.0,,1.0,incons,3.5,1.0,0.194,1.0
0.0303,0.0,1.0,0.0,3.0,,1.0,,1.0,1.0,0.2537,1.0
0.0606,0.0,1.0,0.0,4.0,0.48,1.0,0.02,1.0,1.0,0.1343,1.0
0.0606,0.0,5.0,0.0,5.0,0.48,5.0,0.02,1.0,1.0,-9.925,1.0
0.0758,incons,15.0,0.0,6.0,-7.178000000000001,15.0,0.02,1.0,1.0,,1.0
incons,5.0,84.0,0.0,7.0,0.48,79.0,0.02,1.0,,-9.925,1.0
0.1364,6.0,177.0,0.0,10.375,0.49,171.0,incons,1.0,1.0,,1.0
0.1515,4.0,102.0,0.0,9.0,0.41,98.0,0.06,1.0,1.0,0.0,
0.1364,6.0,40.0,0.0,,0.42,34.0,0.1,,1.0,0.0,1.0
,3.0,,0.0,11.0,0.46,43.0,incons,1.0,1.0,0.1343,1.0
0.1364,11.0,63.0,0.0,12.0,0.42,52.0,0.12,2.0,1.0,0.194,1.0
0.1364,6.0,60.0,0.0,13.0,0.43,,0.14,2.0,1.0,0.2239,1.0
0.1364,2.0,45.0,0.0,14.0,0.46,43.0,0.14,2.0,1.0,0.2239,1.0
0.1667,-11.1,57.0,0.0,15.0,0.4,50.0,0.16,1.0,1.0,0.1642,1.0
,4.0,70.0,0.0,16.0,0.47,66.0,0.16,1.0,1.0,0.2537,1.0
0.1212,6.0,,0.0,17.0,0.5,178.0,0.14,1.0,1.0,16.355,1.0
0.1364,8.0,153.0,0.0,18.0,0.59,145.0,0.14,1.0,1.0,0.194,1.0
0.1515,-11.1,106.0,0.0,incons,0.54,101.0,0.14,1.0,1.0,,1.0
0.1364,1.0,81.0,0.0,20.0,0.59,80.0,0.14,1.0,1.0,0.194,1.0
0.1515,6.0,59.0,0.0,21.0,0.63,-15.878937499999997,0.14,1.0,1.0,0.1642,1.0
0.1364,3.0,35.0,0.0,20.375,0.63,32.0,0.14,2.0,1.0,16.355,1.0
,3.0,24.0,0.0,23.0,0.64,21.0,0.16,2.0,1.0,0.2537,1.0
-3.4875,3.0,9.0,0.0,0.0,0.69,6.0,0.16,2.0,2.0,0.2836,1.0
incons,0.0,5.0,0.0,-6.625,0.69,5.0,0.16,2.0,2.0,0.1642,1.0
0.1515,0.0,2.0,0.0,2.0,0.69,2.0,0.16,1.0,2.0,0.2239,1.0
0.1667,0.0,1.0,0.0,4.0,incons,1.0,-2.388,1.0,13.8775,0.1045,1.0
0.1364,0.0,9.0,0.0,5.0,0.74,-15.878937499999997,0.14,1.0,2.0,0.2239,1.0
0.1818,1.0,36.0,0.0,6.0,0.74,-15.878937499999997,0.16,incons,2.0,16.355,1.0
0.1515,5.0,108.0,0.0,,0.74,103.0,0.16,1.0,2.0,incons,1.0
0.1818,5.0,238.0,0.0,8.0,0.74,233.0,0.16,2.0,2.0,0.1343,1.0
0.2273,10.0,144.0,incons,9.0,0.64,134.0,0.2,2.0,2.0,0.0896,1.0
0.2424,6.0,55.0,0.0,10.0,0.6,49.0,0.22,2.0,incons,0.1045,1.0
0.2424,6.0,61.0,0.0,11.0,0.6,55.0,0.24,2.0,2.0,0.1343,1.0
0.2879,21.0,106.0,0.0,12.0,,85.0,0.26,2.0,2.0,0.0896,1.0
incons,21.0,93.0,,13.0,0.56,72.0,0.26,2.0,2.0,0.1343,1.0
0.3333,11.0,incons,0.0,14.0,0.45,incons,0.3,2.0,2.0,0.0,1.0
0.3485,21.0,84.0,0.0,15.0,0.42,,0.32,2.0,-8.462499999999999,0.0,1.0
0.3485,14.0,116.0,0.0,16.0,0.42,102.0,0.32,2.0,2.0,0.0,1.0
0.3333,14.0,222.0,0.0,incons,-7.178000000000001,208.0,0.3,1.0,2.0,0.0,1.0
0.3182,7.0,225.0,0.0,18.0,0.49,218.0,incons,2.0,2.0,0.0896,1.0
0.2576,13.0,146.0,0.0,19.0,0.65,133.0,,2.0,2.0,0.1642,1.0
0.2273,16.0,119.0,-10.884125000000001,20.0,0.65,103.0,0.24,-2.5,2.0,-9.925,1.0
0.2273,,45.0,0.0,21.0,0.65,40.0,0.24,1.0,2.0,0.194,
0.2273,4.0,53.0,0.0,22.0,0.64,49.0,0.22,1.0,-8.462499999999999,0.1642,1.0
0.2273,3.0,40.0,0.0,10.375,0.64,37.0,0.22,2.0,2.0,0.1642,1.0
