hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2,0,3,1,3,0.22,incons,,0.1343,-11.1,3,3
4,0,-8.4625,1,incons,0.22,0.2273,0.93,0.1343,1,26.7273625,2
5,0,3,1,2,3.4328,0.2576,,0.0896,0,7,7
,0,3,1,2,incons,0.2576,,0.0896,0,32,32
7,0,3,1,2,0.24,0.2576,0.92,0.1045,1,89,90
8,0,3,1,2,3.4328,0.2576,0.93,0.1045,1,196,197
9,0,3,1,2,0.24,0.2576,0.93,0.1045,2,,109
10,0,3,1,2,,0.2727,0.93,0.1343,1,46,47
11,0,,1,2,0.28,0.303,0.87,0.0896,,47,52
12,0,13.8775,1,2,0.3,0.3182,0.81,0.0896,5,65,incons
13,0,3,,1,,0.4091,0.62,0.2836,,67,78
14,0,3,1,1,0.4,0.4091,0.58,0.2537,7,68,75
15,0,3,,1,0.4,0.4091,0.54,0.2836,4,78,82
16,0,3,1,1,0.38,0.3939,0.58,0.3881,10,94,104
17,0,3,1,1,0.36,0.3333,0.57,0.3284,7,190,
18,0,,1,,0.34,0.3182,0.61,0.2836,5,156,161
19,0,3,1,1,0.32,0.2879,0.57,0.4179,4,108,112
20,0,incons,1,-2.5,0.32,0.303,0.49,0.2985,2,74,76
,0,3,1,1,0.32,0.2879,,0.4179,4,55,59
22,0,3,1,1,0.3,5.2925,0.52,,6,53,59
23,0,3,1,1,0.3,0.2727,0.52,0.4627,1,27,28
0,incons,4,1,1,0.26,0.2273,0.56,0.3881,,8,13
1,0,,1,1,0.26,0.2727,0.56,0,2,3,5
2,0,4,1,1,,,0.56,0,0,2,2
3,0,incons,1,1,0.26,0.2576,0.56,,0,1,1
4,,4,-10.45,1,,0.2576,0.56,0.1642,incons,1,1
5,0,4,1,1,0.24,0.2273,0.6,-9.925,0,6,6
6,0,4,1,,0.22,0.2121,0.6,0.2239,0,35,35
20.375,0,,1,1,0.22,0.2121,0.55,0.2239,1,100,101
8,0,4,1,1,0.22,0.2121,0.55,0.2836,2,247,249
9,0,4,1,2,0.24,0.2273,0.52,-9.925,3,140,143
,0,4,1,1,0.26,0.2273,0.48,0.2985,incons,56,57
11,0,4,1,2,0.28,0.2727,0.45,0.1642,5,-15.8789375,68
12,0,4,1,2,0.3,0.3333,0.42,0,7,77,84
,0,4,,2,0.28,0.2879,0.45,0.1045,12,86,98
14,0,4,17.07,2,,0.303,0.45,0.1343,6,75,81
15,0,4,1,2,0.32,0.3182,0.45,0.194,8,62,70
16,0,4,1,2,0.3,0.303,0.49,0.1343,8,83,91
17,0,incons,1,2,0.3,0.3182,0.49,,8,207,215
18,0,4,1,2,0.26,0.2576,0.56,0.194,1,184,185
19,0,4,17.07,,0.26,5.2925,0.56,0.3284,6,146,152
20,0,4,1,3.5,0.26,-3.4875,0.6,0.2836,2,,126
incons,0,4,1,2,,0.2273,0.6,0.2537,3,54,57
22,0,4,,2,3.4328,0.2121,0.65,0.2836,0,56,56
incons,0,4,1,2,0.24,0.2121,0.65,0.3284,,incons,31
0,0,5,1,2,0.24,-3.4875,0.7,0.2537,1,20,21
1,0,5,1,2,0.24,0.2273,0.7,0.2537,0,6,6
2,0,5,1,3,0.24,0.2424,0.75,0.1642,18.26,2,2
3,0,5,1,3,-2.388,0.2121,,0.2985,0,1,1
10.375,0,5,1,2,0.22,0.2576,0.87,0.0896,0,1,1
5,0,5,incons,1,0.24,0.197,0.6,0.4179,incons,4,5
6,0,5,1,1,0.22,0.2121,0.55,0.2537,incons,27,27
7,0,5,1,1,0.2,5.2925,0.51,0.2836,2,66,
8,,5,1,1,0.2,0.1818,-7.178,0.3284,7,210,217
9,0,5,1,1,0.2,0.1818,-7.178,0.3582,7,159,166
10,0,5,1,1,0.2,0.1667,0.47,0.4627,6,57,63
11,,5,1,1,0.22,0.1818,-4.178,0.4627,6,53,59
12,0,5,1,1,0.22,0.1818,0.27,,11,67,78
13,0,-8.4625,1,1,0.2,0.1515,11.9068,-9.925,8,65,
14,0,5,1,1,0.2,0.1515,0.25,incons,6,56,-22.3228125
15,18.130475,5,1,1,0.16,0.1212,0.26,0.4478,4,61,65
16,0,5,17.07,1,incons,0.1364,0.26,0.3582,0,97,-22.3228125
17,0,5,1,1,0.14,0.1212,,0.3582,10,151,incons
18,0,5,1,1,0.12,0.1212,0.3,0.2537,1,119,120
19,0,5,-7.45,1,0.12,5.2925,0.3,incons,3,93,incons
10.375,0,5,1,1,,0.0758,0.33,16.355,1,52,53
21,0,incons,1,1,0.08,0.0758,0.38,0.2836,0,41,41
22,0,5,1,1,0.06,0.0303,0.41,0.3881,1,33,34
23,0,5,1,1,0.06,0.0455,0.38,incons,,27,27
0,0,6,0,1,0.04,0.0303,0.45,0.2537,0,13,13
incons,,6,12.07,2,3.4328,0,0.41,0.3881,3,26.7273625,incons
2,0,6,0,-2.5,0.04,,0.41,0.2537,0,11,11
3,0,6,0,,0.04,0.0303,0.41,0.2836,1,-15.8789375,7
20.375,0,6,0,2,0.02,0.0152,0.48,0.2985,0,3,3
-12.625,0,6,0,2,0.02,0.0303,0.44,0.2239,0,2,incons
7,0,6,0,1,0.02,0.0152,0.44,0.2836,0,8,8
8,0,6,incons,1,incons,0,0.44,0.3284,1,26,27
9,0,incons,0,1,0.04,0.0303,0.41,0.2537,3,37,37.3936875
10,0,6,0,2,0.04,0.0606,0.41,0.1642,3,50,53
11,0,6,0,2,0.06,0.0758,,0.1343,4,59,63
12,0,6,0,incons,0.06,0.1061,0.38,0.1045,10,60,70
,-10.884125,6,0,1,0.08,0.1667,0.35,0,12,72,incons
14,0,6,0,1,,0.1364,0.33,0.1045,11,64,75
15,-10.884125,6,0,1,0.12,0.1515,0.28,0,-11.1,93,103
16,0,6,0,1,0.12,0.1364,0.28,0.194,11,72,83
17,0,,0,1,0.12,0.197,0.28,0,8,59,67
18,0,6,0,1,0.08,0.0909,0.35,0.194,0,54,54
19,0,6,0,1,0.08,0.1061,0.35,0.1343,6,53,59
20,0,6,0,,0.06,0.0758,11.9068,0.1642,1,44,45
21,0,6,0,1,0.06,0.1061,-7.178,0.0896,0,39,39
22,0,-8.4625,0,1,0.06,0.1515,incons,0,7,23,
23,0,6,0,1,incons,0.0758,0.57,0.1045,18.26,31,33
0,,0,0,1,,0.0758,0.57,0.1045,2,20,22
1,0,0,0,1,incons,0.0758,0.57,0.1045,1,12,13
2,,0,0,1,0.02,0.0606,incons,0.1343,3,15,18
3,0,0,0,1,0.02,0.0606,0.62,0.1343,1,4,5
5,0,0,0,2,0.04,-3.4875,0.57,0.1045,0,3,3
6,0,0,0,2,0.04,0.0758,0.57,0.1045,18.26,1,1
7,0,0,0,1,0.08,0.1061,0.58,0.1642,1,1,2
8,incons,0,0,1,3.4328,0.0758,0.62,0.1642,incons,17,19
9,0,0,,1,0.1,0.0758,0.54,0.3582,3,25,28
10,0,0,,1,0.14,0.1061,11.9068,0.3881,7,51,58
11,0,0,0,3.5,,0.1364,0.43,0.2239,22,77,99
12,0,0,0,1,0.16,0.1212,0.37,0.4627,24,92,116
13,,0,0,1,0.14,0.1061,0.33,,18.26,75,87
14,18.130475,0,0,1,0.16,0.1364,0.28,0.3582,17,93,110
15,0,0,0,3.5,0.16,0.1364,0.28,0.3582,13,64,
,incons,0,17.07,1,0.16,0.1364,0.26,0.3284,incons,56,-22.3228125
17,0,0,incons,1,0.14,0.1061,0.26,0.3881,incons,50,55
18,0,0,incons,1,0.12,0.1212,-7.178,0.2537,5,44,incons
19,0,0,0,1,0.12,0.1212,0.3,0.2836,5,45,50
20,0,0,incons,1,0.1,0.1061,0.36,0.2537,4,31,35
21,0,0,0,1,0.1,0.1061,0.36,0.194,5,20,25
22,0,0,0,1,,0.0909,0.38,0.194,5,23,28
23,0,,0,1,0.06,0.0606,0.41,0.2239,4,17,21
0,0,13.8775,1,1,0.06,0.0606,0.41,0.194,0,7,7
1,0,1,1,3.5,incons,0.0455,,0.194,0,1,1
3,0,1,1,1,,0.0303,,0.2537,0,1,1
4,0,1,1,1,0.02,0.0606,0.48,0.1343,0,1,1
5,0,1,1,1,0.02,0.0606,0.48,-9.925,0,5,5
6,0,1,1,1,0.02,0.0758,-7.178,,incons,15,15
7,0,,1,1,0.02,incons,0.48,-9.925,5,79,84
10.375,0,1,1,1,incons,0.1364,0.49,,6,171,177
9,0,1,,1,0.06,0.1515,0.41,0,4,98,102
,0,1,1,,0.1,0.1364,0.42,0,6,34,40
11,0,1,1,1,incons,,0.46,0.1343,3,43,
12,0,1,1,2,0.12,0.1364,0.42,0.194,11,52,63
13,0,1,1,2,0.14,0.1364,0.43,0.2239,6,,60
14,0,1,1,2,0.14,0.1364,0.46,0.2239,2,43,45
15,0,1,1,1,0.16,0.1667,0.4,0.1642,-11.1,50,57
16,0,1,1,1,0.16,,0.47,0.2537,4,66,70
17,0,1,1,1,0.14,0.1212,0.5,16.355,6,178,
18,0,1,1,1,0.14,0.1364,0.59,0.194,8,145,153
incons,0,1,1,1,0.14,0.1515,0.54,,-11.1,101,106
20,0,1,1,1,0.14,0.1364,0.59,0.194,1,80,81
21,0,1,1,1,0.14,0.1515,0.63,0.1642,6,-15.8789375,59
20.375,0,1,1,2,0.14,0.1364,0.63,16.355,3,32,35
23,0,1,1,2,0.16,,0.64,0.2537,3,21,24
0,0,2,1,2,0.16,-3.4875,0.69,0.2836,3,6,9
-6.625,0,2,1,2,0.16,incons,0.69,0.1642,0,5,5
2,0,2,1,1,0.16,0.1515,0.69,0.2239,0,2,2
4,0,13.8775,1,1,-2.388,0.1667,incons,0.1045,0,1,1
5,0,2,1,1,0.14,0.1364,0.74,0.2239,0,-15.8789375,9
6,0,2,1,incons,0.16,0.1818,0.74,16.355,1,-15.8789375,36
,0,2,1,1,0.16,0.1515,0.74,incons,5,103,108
8,0,2,1,2,0.16,0.1818,0.74,0.1343,5,233,238
9,incons,2,1,2,0.2,0.2273,0.64,0.0896,10,134,144
10,0,incons,1,2,0.22,0.2424,0.6,0.1045,6,49,55
11,0,2,1,2,0.24,0.2424,0.6,0.1343,6,55,61
12,0,2,1,2,0.26,0.2879,,0.0896,21,85,106
13,,2,1,2,0.26,incons,0.56,0.1343,21,72,93
14,0,2,1,2,0.3,0.3333,0.45,0,11,incons,incons
15,0,-8.4625,1,2,0.32,0.3485,0.42,0,21,,84
16,0,2,1,2,0.32,0.3485,0.42,0,14,102,116
incons,0,2,1,1,0.3,0.3333,-7.178,0,14,208,222
18,0,2,1,2,incons,0.3182,0.49,0.0896,7,218,225
19,0,2,1,2,,0.2576,0.65,0.1642,13,133,146
20,-10.884125,2,1,-2.5,0.24,0.2273,0.65,-9.925,16,103,119
21,0,2,,1,0.24,0.2273,0.65,0.194,,40,45
22,0,-8.4625,1,1,0.22,0.2273,0.64,0.1642,4,49,53
10.375,0,2,1,2,0.22,0.2273,0.64,0.1642,3,37,40
0,0,-8.4625,1,2,3.4328,0.2273,0.69,-9.925,3,14,17
1,0,3,1,2,0.24,0.2424,0.65,0.1343,0,5,5
,0,3,1,3,incons,0.2273,0.69,0.194,3,7,10
5,0,3,1,3,0.2,0.1818,0.86,0.2836,incons,1,1
6,0,3,1,incons,0.2,0.1818,0.86,0.2836,0,8,8
-6.625,0,3,1,3,0.22,incons,0.87,,,29,30
8,0,3,1,3,0.22,0.2121,0.87,0.2985,3,69,72
9,0,3,-7.45,3,0.22,0.2121,0.87,0.2985,3,55,58
10,0,3,1,3,0.22,0.2121,-7.178,-9.925,2,26,28
11,0,3,1,3,0.22,,0.93,0.3284,6,35,41
12,0,3,-7.45,3,0.22,0.197,0.93,,7,,48
13,0,3,1,3,0.22,0.197,0.93,,4,,47
14,0,3,1,3.5,0.22,0.197,0.93,0.3582,0,36,-22.3228125
-12.625,0,3,1,3,0.22,0.1818,0.93,0.4627,1,42,-22.3228125
,0,incons,1,4,0.22,0.197,0.93,0.3284,1,35,36
,,3,1,3,0.2,0.1818,0.93,0.3582,,26,26
16,0,4,12.07,1,0.22,0.2273,0.55,,1,23,24
17,0,4,,1,0.22,0.2424,0.55,0.1045,2,82,84
18,0,incons,1,1,0.2,0.2273,0.69,0.0896,,101,104
19,0,4,1,1,,0.2273,0.69,,3,76,79
20,0,4,1,-2.5,0.18,5.2925,0.74,0.0896,4,55,59
21,0,4,,1,0.18,0.2121,0.74,0.0896,2,36,38
22,0,4,1,1,0.18,0.2121,0.74,0.0896,0,27,27
incons,0,4,1,1,incons,0.197,,0.1642,,16,16
0,0,,1,2,0.2,0.2121,0.75,0.1343,0,9,9
1,,,1,2,0.2,0.2121,incons,0.1343,1,2,3
2,0,5,1,2,0.2,0.2121,0.75,0.1642,0,2,2
3,0,5,1,2,0.2,0.2273,0.75,0.1045,1,0,1
5,0,5,1,2,0.18,0.2121,0.8,0.1045,0,4,4
6,0,5,1,incons,0.18,0.197,0.8,0.1343,0,16,16
7,0,5,1,2,,0.197,0.86,0.0896,2,58,37.3936875
-12.625,0,5,1,2,0.16,0.197,0.86,0.0896,2,155,157
9,0,5,1,3,0.18,0.2121,0.86,0.0896,6,95,101
10,0,5,1,3,0.18,0.2121,0.86,0.1045,0,49,49
11,0,5,1,3,0.18,5.2925,11.9068,0.1045,0,30,30
12,0,5,1,3,0.18,-3.4875,0.93,0.1045,,28,29
,0,5,1,3,0.18,0.2121,0.93,0.1045,0,31,31
14,incons,5,1,3,0.22,0.2727,0.8,0,2,36,38
15,0,5,1,2,,0.2576,0.86,0,1,40,41
16,18.130475,5,1,1,0.22,0.2727,0.8,16.355,10,70,80
20.375,0,5,1,,incons,0.2424,0.75,0.1343,,,149
18,0,,1,1,0.24,0.2273,incons,0.194,2,107,109
19,0,5,1,2,0.24,0.2424,0.75,0.1343,-11.1,84,89
20,0,5,1,2,0.24,0.2273,0.7,0.194,1,61,62
21,0,5,1,2,0.22,0.2273,0.75,0.1343,1,57,58
22,-10.884125,incons,1,1,0.24,0.2121,incons,0.3582,0,26,26
23,0,,1,1,0.24,0.2273,0.6,0.2239,1,22,23
0,incons,6,0,1,0.22,0.197,0.64,0.3582,-11.1,26,28
1,0,6,0,1,0.22,,0.64,0.194,0,20,37.3936875
2,0,6,0,1,0.22,,incons,-9.925,0,-15.8789375,15
3,0,6,0,1,0.2,0.2121,0.64,0.1343,3,incons,8
20.375,0,incons,0,1,0.16,0.1818,0.69,0.1045,-11.1,2,3
,0,6,0,1,0.16,0.1818,0.64,0.1343,0,2,2
7,0,6,0,1,0.16,0.1818,0.59,,1,4,5
-12.625,0,6,0,1,0.18,0.197,0.55,0.1642,3,31,34
9,0,6,0,1,0.18,0.2121,0.59,0.0896,0,34,34
10,0,,0,2,0.18,0.2121,0.64,0.1045,incons,51,55
11,0,6,0,incons,0.18,0.197,,,4,-15.8789375,
12,0,6,0,2,3.4328,0.197,0.59,0.194,12,66,78
13,0,6,0,2,0.22,0.2273,0.55,0.1642,9,56,65
14,0,6,0,incons,0.22,0.2273,0.6,0.1343,10,89,99
15,0,6,0,1,0.22,0.2121,0.69,0.2537,22,98,120
16,0,incons,0,1,0.24,0.2424,0.6,0.1642,19,88,107
17,0,6,0,3.5,0.24,0.2879,0.6,-9.925,9,82,91
18,0,6,0,1,,,0.69,0.1343,18.26,59,68
19,0,6,0,2,0.22,0.2121,0.69,0.2537,,52,58
20,0,6,0,1,,0.2121,0.74,0.0896,1,42,43
21,0,6,0,1,0.18,0.2121,0.74,0.0896,1,35,36
22,0,6,,3.5,0.16,0.197,0.8,0.0896,-11.1,28,32
23,0,6,0,1,0.16,0.197,0.8,-9.925,incons,30,33
0,0,0,-10.45,1,0.16,0.1818,0.8,0.1045,0,33,33
1,18.130475,0,0,1,3.4328,,0.8,0,7,22,29
2,0,0,,1,0.16,0.2273,0.8,incons,1,10,11
3,0,0,0,1,0.14,0.2121,0.93,0,incons,7,8
4,0,0,0,1,0.14,0.2121,0.93,0,0,1,1
5,0,0,0,1,0.14,5.2925,0.86,0,0,-15.8789375,3
7,0,0,-7.45,1,0.14,0.2121,0.86,0,0,3,3
8,0,0,0,2,0.14,0.2121,0.86,0,1,11,12
9,0,0,0,2,,0.2273,0.8,,4,34,38
10,0,0,0,2,0.18,0.2424,0.8,0,7,57,64
11,0,0,incons,1,incons,0.2727,-7.178,0,18.26,50,59
12,0,0,0,incons,0.3,0.3182,0.52,0.1045,10,87,97
13,,0,0,1,0.28,0.2879,0.61,0.1045,13,71,84
14,0,0,0,1,0.28,0.303,0.61,-9.925,,104,122
15,0,0,0,-2.5,0.3,0.3333,-7.178,0,14,95,37.3936875
16,0,0,0,1,0.3,0.3333,0.56,0,19,104,
17,,0,0,1,0.3,-3.4875,11.9068,0.194,6,71,77
18,0,0,0,1,0.26,5.2925,0.65,,8,57,65
19,0,0,0,1,3.4328,0.2576,0.65,-9.925,9,46,55
20,0,0,0,,0.26,0.2727,0.65,0.1045,3,30,33
21,0,0,0,2,0.24,incons,,incons,3,25,28
22,0,0,0,2,0.24,5.2925,0.7,0.194,2,19,
23,0,0,0,2,0.24,0.2121,0.65,0.2836,5,16,21
0,0,1,1,2,0.24,,0.65,0.2239,1,6,7
1,,1,incons,1,0.22,0.2121,0.64,0.2537,2,5,7
-6.625,0,1,1,1,0.22,incons,0.64,0.194,0,1,37.3936875
3,0,1,1,1,0.22,0.2273,0.64,0.194,0,2,-22.3228125
4,0,1,1,1,,incons,0.59,0.2239,0,2,2
5,0,1,1,1,0.18,0.1667,0.64,0.2836,-11.1,8,8
6,0,1,1,1,0.16,0.1364,0.69,0.3284,0,37,37
7,0,-8.4625,,2,0.16,-3.4875,0.64,0.2836,1,71,72
8,0,1,1,2,0.16,0.1364,0.59,0.2836,3,182,185
9,0,1,1,2,0.16,0.1364,0.59,0.2985,0,112,112
10,0,1,1,2,0.16,0.1515,0.59,0.194,1,68,69
incons,0,1,1,2,0.16,0.1515,0.59,0.194,2,46,48
12,0,1,incons,2,,0.2121,incons,0.1045,6,62,68
13,0,1,,2,0.16,0.2273,0.59,0,2,-15.8789375,
14,0,1,1,2,0.18,0.197,0.55,0.1343,1,85,86
15,0,1,1,2,0.16,0.1818,,0.1343,3,,44
16,0,1,incons,3.5,0.16,0.1818,0.56,0.194,3,83,-22.3228125
17,0,1,1,2,0.16,0.1515,0.59,0.194,6,155,37.3936875
18,0,incons,1,2,3.4328,0.1515,0.55,0.2239,3,153,156
19,0,1,1,1,0.3,0.3182,0.61,0.1045,,,111
20,0,1,1,-2.5,0.16,0.1667,0.59,0.1642,0,78,78
21,0,1,1,3,3.4328,0.197,0.59,0.0896,3,53,56
22,-10.884125,1,1,2,0.16,0.1818,-7.178,0.1045,0,34,37.3936875
23,0,1,1,2,0.16,,0.64,0.0896,2,15,17
0,incons,2,1,2,0.16,0.1818,0.64,0.1045,2,,8
1,0,2,1,2,0.16,-3.4875,0.69,0.1045,0,3,-22.3228125
2,0,2,1,2,-2.388,0.2273,0.69,0,0,2,2
3,0,2,1,,3.4328,0.2273,0.69,0,-11.1,2,
5,0,2,17.07,3,0.14,0.2121,0.93,0,0,3,-22.3228125
6,0,2,1,3,0.14,0.2121,11.9068,incons,0,22,22
7,0,2,1,3,0.16,0.2273,0.93,0,0,52,52
8,18.130475,2,1,3,-2.388,0.2273,0.93,0,3,132,135
incons,0,-8.4625,1,2,0.16,0.2273,0.93,incons,2,114,116
10,0,2,1,2,0.16,0.2273,0.93,0,0,47,47
11,0,2,1,2,0.18,0.2424,0.86,0,2,49,51
12,0,2,1,2,0.2,0.2576,0.86,0,2,-15.8789375,55
13,18.130475,2,1,2,0.2,0.2576,0.86,0,3,,52
10.375,0,incons,1,2,0.22,0.2576,0.8,0.0896,5,,incons
15,0,2,1,2,0.24,-3.4875,0.75,0,7,45,52
16,0,13.8775,1,2,0.24,0.2424,0.75,0.1343,3,61,64
17,0,2,1,2,incons,0.2879,0.75,0,4,172,
18,0,2,1,2,0.24,0.2576,0.81,0.1045,,165,168
19,0,2,1,2,0.24,0.2424,0.81,0.1343,3,105,108
20,0,2,1,2,-2.388,incons,0.87,0.1343,5,69,74
21,,2,1,2,0.22,0.2273,0.87,0.1343,,64,-22.3228125
22,0,2,1,2,,0.2576,0.87,0.0896,2,34,36
23,0,2,1,3,0.2,0.197,0.93,0.194,1,15,16
0,0,3,1,3,0.22,0.2424,0.93,0.1045,0,2,2
1,0,3,1,,0.22,0.2273,0.93,0.194,0,3,3
2,0,3,1,3,0.22,0.2273,0.93,-9.925,4,0,4
10.375,incons,3,1,3,0.22,0.2273,0.93,0.1343,0,1,1
incons,0,3,1,-2.5,0.22,0.2121,0.93,0.2836,-11.1,1,1
5,0,3,1,3,0.22,0.2424,0.93,0.1045,0,3,3
6,0,3,1,3,0.22,0.2424,0.93,0.1045,1,17,18
7,0,3,1,3,0.22,5.2925,0.93,0.2239,1,48,37.3936875
8,-10.884125,3,1,3,incons,0.2121,0.93,16.355,1,154,155
incons,0,3,1,2,0.24,0.2576,0.93,0.0896,4,119,123
10,0,3,1,2,0.22,0.2727,incons,0,2,59,61
11,0,3,1,,0.24,5.2925,0.93,0.194,incons,47,52
12,0,3,1,2,0.24,0.2273,0.93,0.2239,18.26,61,64
13,0,-8.4625,1,1,0.34,0.3333,0.93,0.1642,1,74,75
14,0,,17.07,1,0.38,0.3939,0.82,0.3881,18.26,61,37.3936875
15,0,3,1,1,0.38,0.3939,0.76,16.355,10,66,76
16,0,3,1,1,0.36,0.3333,0.71,0.2985,8,95,103
17,0,3,1,1,0.36,0.3182,0.53,0.5224,7,26.7273625,190
18,0,3,,1,0.34,0.2879,0.42,0.5522,7,175,182
19,,3,1,1,0.28,0.2424,0.45,0.4925,3,88,91
20,0,3,,1,0.24,0.197,0.48,0.5522,4,71,75
21,0,3,1,1,0.22,0.197,0.47,0.3284,1,62,63
22,0,3,1,1,0.22,0.2121,0.44,0.2537,5,26.7273625,
23,0,3,1,1,incons,0.1667,0.44,0.4478,3,29,32
0,0,4,1,1,0.2,0.1667,-7.178,0.4478,1,11,12
1,0,-8.4625,1,1,0.2,0.1515,-7.178,0.5224,0,5,5
2,0,4,1,1,0.18,0.1667,0.43,0.2537,0,2,2
3,0,4,1,1,0.18,0.1667,0.43,0.2537,0,1,1
5,0,4,1,1,0.16,0.1364,0.5,0.2985,0,2,2
6,0,4,-10.45,1,0.16,0.1364,0.43,0.3582,0,39,39
7,0,4,1,incons,0.14,0.1212,0.5,0.3284,1,86,87
8,0,13.8775,1,1,0.14,0.1212,0.5,0.3582,4,184,188
9,0,4,-7.45,1,0.16,0.1364,0.47,0.2985,6,127,37.3936875
10,0,4,1,1,0.18,0.1515,0.43,0.3284,2,50,52
11,0,4,1,1,0.18,0.1364,0.43,0.4478,9,55,64
12,0,4,1,1,0.2,0.1818,0.4,0.3582,2,67,69
13,0,4,1,1,0.2,0.1667,0.4,0.4179,,-15.8789375,51
14,0,4,1,1,0.22,0.197,0.37,0.3881,4,43,47
15,,4,1,1,-2.388,0.197,,0.3284,4,56,60
16,-10.884125,4,1,1,0.22,0.2121,0.37,0.2537,5,73,incons
17,0,4,1,1,0.2,0.197,0.4,0.194,5,170,175
18,0,4,1,1,,0.2121,0.4,0.1642,2,145,147
19,0,4,1,1,0.2,0.2576,0.4,0,4,-15.8789375,96
20,0,4,1,,0.2,0.2273,0.47,0.0896,1,,109
10.375,0,4,,1,0.18,0.2121,0.55,0.1045,1,53,54
-12.625,0,4,1,,0.18,0.2121,0.51,0.0896,2,39,41
23,0,-8.4625,1,-2.5,0.2,0.2273,0.47,0.1045,4,,38
0,0,5,1,2,0.2,incons,,0,3,,-22.3228125
1,0,5,1,2,0.16,0.2273,0.59,,0,7,7
2,-10.884125,5,1,2,0.14,0.1667,0.63,0.1045,0,1,1
3,0,5,1,2,0.14,0.1667,0.63,0.1045,0,1,1
5,0,5,1,2,0.14,0.1515,incons,0.1343,0,7,7
6,0,13.8775,1,2,0.16,0.2273,11.9068,0,2,26,28
7,-10.884125,5,1,incons,0.14,0.2121,11.9068,incons,0,87,87
8,-10.884125,incons,1,3.5,0.14,0.1515,0.74,0.1343,3,217,220
9,0,5,1,2,0.16,0.1818,0.8,0.1343,incons,124,127
10,0,5,1,2,incons,0.2121,0.51,0.1343,5,46,51
11,0,5,1,1,0.22,0.2273,0.51,0.1642,3,61,-22.3228125
10.375,0,5,1,2,incons,0.2424,0.48,0.1642,8,78,86
13,0,5,1,2,0.26,0.2576,11.9068,0.2239,9,73,82
14,0,5,1,incons,0.28,0.2727,0.45,0.1642,15,76,incons
10.375,0,5,1,2,3.4328,0.2727,0.48,0.2537,9,81,90
16,0,5,1,incons,0.3,-3.4875,0.42,0.2239,8,91,99
incons,0,5,1,2,0.26,0.2727,0.56,0.1343,10,195,-22.3228125
18,0,13.8775,1,2,0.24,0.2576,0.6,0.1045,3,152,
19,0,5,1,2,-2.388,0.2424,0.65,0.1343,1,102,-22.3228125
-6.625,0,5,1,incons,0.24,0.2424,0.65,0.1642,2,69,
21,0,5,1,2,0.24,0.2424,0.7,0.1642,2,41,43
22,0,-8.4625,1,2,0.24,-3.4875,0.65,-9.925,1,45,46
23,0,5,1,2,0.24,0.2424,0.7,,1,30,31
0,18.130475,6,0,2,0.24,0.2424,0.7,0.1642,3,36,incons
1,incons,6,0,2,0.24,0.2424,0.65,0.1642,1,17,18
2,0,6,0,2,0.24,0.2424,0.75,0.1642,5,12,17
3,0,6,0,2,0.24,0.2424,incons,0.1642,1,10,11
-6.625,0,6,0,3,0.22,0.2273,0.93,0.1343,0,incons,8
5,0,6,0,3,0.2,incons,1,0.0896,0,-15.8789375,9
6,0,6,0,3,3.4328,0.2576,1,-9.925,0,4,4
7,0,6,0,3,0.22,0.2576,0.93,0.0896,0,4,4
8,0,-8.4625,0,3,0.2,0.2273,1,0.0896,0,-15.8789375,10
9,0,6,0,3,0.2,0.2273,1,,3,17,20
10,0,6,0,3,-2.388,0.2121,1,0.1343,3,31,34
11,0,6,0,3,0.22,0.2273,1,0.1343,1,46,incons
12,0,6,0,3,0.22,,1,0.1642,10,42,52
13,-10.884125,6,0,3,0.22,0.2273,1,0.1642,10,62,72
14,0,6,0,3,0.22,,1,0,5,50,55
incons,0,,0,,,0.2727,1,0,11,49,60
16,0,6,0,3,0.22,0.2273,1,0.1343,8,63,
17,0,6,0,2,0.24,0.2121,1,0.2836,14,64,78
18,0,6,0,2,0.28,0.2424,0.93,0.4478,2,81,83
19,0,6,0,2,0.28,0.2424,0.93,16.355,6,78,84
20,0,6,0,1,0.3,0.2879,0.87,0.2537,5,64,69
21,-10.884125,6,0,1,incons,0.2576,1,,3,53,56
22,0,6,0,1,0.26,0.2727,0.93,incons,2,43,45
23,0,6,0,-2.5,0.26,0.2576,0.93,0.2239,7,52,59
0,0,0,17.07,1,0.26,0.2576,0.7,0.194,2,37,39
1,0,0,0,,0.26,0.2273,0.65,0.4179,4,40,44
2,-10.884125,0,0,-2.5,0.26,0.2273,0.6,0.3284,incons,20,20
3,0,0,0,1,,0.2879,0.6,0.0896,3,10,13
4,0,0,0,1,0.26,0.2273,0.6,0.3582,0,2,incons
5,0,0,0,1,0.26,0.2576,0.6,0.2239,,1,1
6,0,0,0,incons,0.26,0.2576,0.6,16.355,0,1,1
7,0,0,0,,0.24,0.2424,0.65,0.1642,0,-15.8789375,8
8,0,0,0,1,0.24,0.2576,0.65,0.1045,2,21,23
-6.625,,0,incons,1,0.28,0.2879,,0.1045,7,incons,45
10,0,13.8775,incons,1,0.3,0.2879,0.52,0.2537,15,74,89
11,0,0,0,1,0.32,0.303,0.49,0.2537,28,incons,117
-6.625,0,0,0,1,0.34,0.3333,0.46,,incons,26.7273625,174
13,0,-8.4625,0,1,0.34,0.3636,0.46,0,47,135,37.3936875
